testPath,category,declaration,noneNeeded
"test/verifiedTests/reconstruction/testModelManipulation/testCheckObjective.m",reconstruction,"(none needed)",yes
"test/verifiedTests/reconstruction/testModelManipulation/testDynamicModelFieldModification.m",reconstruction,"(none needed)",yes
"test/verifiedTests/reconstruction/testModelManipulation/testExtractMetModel.m",reconstruction,"(none needed)",yes
"test/verifiedTests/reconstruction/testModelManipulation/testGenerateRules.m",reconstruction,"(none needed)",yes
"test/verifiedTests/reconstruction/testModelManipulation/testMergeTwoModels.m",reconstruction,"(none needed)",yes
"test/verifiedTests/reconstruction/testModelManipulation/testMIRIAMAnnotation.m",reconstruction,"(none needed)",yes
"test/verifiedTests/reconstruction/testModelManipulation/testRemoveDuplicateRxn.m",reconstruction,"(none needed)",yes
"test/verifiedTests/reconstruction/testModelManipulation/testSubSystemModification.m",reconstruction,"(none needed)",yes
"test/verifiedTests/reconstruction/testModelManipulation/testUpdateGenes.m",reconstruction,"(none needed)",yes
"test/verifiedTests/reconstruction/testRBioNet/testGetGeneList.m",reconstruction,"(none needed)",yes
"test/verifiedTests/reconstruction/testRBioNet/testGPR2Genes.m",reconstruction,"(none needed)",yes
"test/verifiedTests/reconstruction/testRBioNet/testLegalRxnFormula.m",reconstruction,"(none needed)",yes
"test/verifiedTests/reconstruction/testRBioNet/testLoadReaction.m",reconstruction,"(none needed)",yes
"test/verifiedTests/reconstruction/testRBioNet/testMets2str.m",reconstruction,"(none needed)",yes
"test/verifiedTests/reconstruction/testRBioNet/testModel2data.m",reconstruction,"(none needed)",yes
"test/verifiedTests/reconstruction/testRBioNet/testNeighborRxn2data.m",reconstruction,"(none needed)",yes
"test/verifiedTests/reconstruction/testRBioNet/testRBioNetSaveLoad.m",reconstruction,"(none needed)",yes
"test/verifiedTests/reconstruction/testRBioNet/testReactionEq.m",reconstruction,"(none needed)",yes
"test/verifiedTests/reconstruction/testRBioNet/testSimilarity.m",reconstruction,"(none needed)",yes
"test/verifiedTests/dataIntegration/testChemoInformatics/testDeleteProtons.m",dataIntegration,"(none needed)",yes
"test/verifiedTests/dataIntegration/testConstrainRxns/testConstrainRxns.m",dataIntegration,"prepareTest('needsLP', true, 'needsQP', true)",no
"test/verifiedTests/dataIntegration/testMetaboTools/testCalculateLODs.m",dataIntegration,"(none needed)",yes
"test/verifiedTests/dataIntegration/testMetaboTools/testComputeFluxSplits.m",dataIntegration,"prepareTest('needsLP', true)",no
"test/verifiedTests/dataIntegration/testMetaboTools/testConc2Rate.m",dataIntegration,"(none needed)",yes
"test/verifiedTests/dataIntegration/testMetaboTools/testFluxSplits.m",dataIntegration,"prepareTest('needsLP', true, 'needsQP', true)",no
"test/verifiedTests/dataIntegration/testMetaboTools/testPruneModel.m",dataIntegration,"(none needed)",yes
"test/verifiedTests/dataIntegration/testMetaboTools/testSetConstraintsOnBiomassReaction.m",dataIntegration,"(none needed)",yes
"test/verifiedTests/dataIntegration/testMetaboTools/testSetMediumConstraints.m",dataIntegration,"(none needed)",yes
"test/verifiedTests/dataIntegration/testMolecularMass/testMolecularMass.m",dataIntegration,"(none needed)",yes
"test/verifiedTests/dataIntegration/testMOOMIN/testWriteMoominOutput.m",dataIntegration,"(none needed)",yes
"test/verifiedTests/dataIntegration/testPreprocessing/testPreprocessing.m",dataIntegration,"(none needed)",yes
"test/verifiedTests/design/testGDLS/testGDLS.m",design,"prepareTest('needsMILP', true)",no
"test/verifiedTests/design/testMultiProductionEnvelopeInorg.m",design,"(none needed)",yes
"test/verifiedTests/design/testMultiProductionEnvelope.m",design,"(none needed)",yes
"test/verifiedTests/design/testOptForce/testExportSetToGAMS.m",design,"(none needed)",yes
"test/verifiedTests/design/testOptKnock/testOptKnock.m",design,"prepareTest('needsLP', true, 'needsMILP', true)",no
"test/verifiedTests/design/testProductionEnvelope.m",design,"(none needed)",yes
"test/verifiedTests/design/testSimpleOptKnock.m",design,"(none needed)",yes
"test/verifiedTests/design/testSingleProductionEnvelope.m",design,"(none needed)",yes
"test/verifiedTests/design/testTheoretMaxProd.m",design,"prepareTest('needsLP', true)",no
"test/verifiedTests/visualization/testCreateMetIntrcNetwork/testCreateMetIntrcNetwork.m",visualization,"(none needed)",yes
"test/verifiedTests/visualization/testEFMviz/testEfmEnrichmentAnalysis.m",visualization,"(none needed)",yes
"test/verifiedTests/visualization/testEFMviz/testEfmFilter.m",visualization,"(none needed)",yes
"test/verifiedTests/visualization/testEFMviz/testEfmImport.m",visualization,"(none needed)",yes
"test/verifiedTests/visualization/testEFMviz/testEfmSubmodelExtractionAsSBML.m",visualization,"(none needed)",yes
"test/verifiedTests/visualization/testEFMviz/testEfmSubsystemsExtraction.m",visualization,"(none needed)",yes
"test/verifiedTests/visualization/testEFMviz/testEfmYieldAnalysis.m",visualization,"(none needed)",yes
"test/verifiedTests/visualization/testMaps/testMaps.m",visualization,"prepareTest('needsLP', true)",no
"test/verifiedTests/visualization/testMetabolicCartography/testCD/testCD.m",visualization,"(none needed)",yes
"test/verifiedTests/visualization/testPaint4Net/testPaint4Net_bio_draw_by_met.m",visualization,"(none needed)",yes
"test/verifiedTests/visualization/testPaint4Net/testPaint4Net_bio_draw_by_rxn.m",visualization,"(none needed)",yes
"test/verifiedTests/visualization/testPaint4Net/testPaint4Net_draw_by_met.m",visualization,"(none needed)",yes
"test/verifiedTests/visualization/testPaint4Net/testPaint4Net_draw_by_rxn.m",visualization,"(none needed)",yes
"test/verifiedTests/visualization/testReconMap/testPrintInRecon3Dmap.m",visualization,"(none needed)",yes
"test/verifiedTests/visualization/testVisualizeEpistasis/testConvertGene2PathwayInteractions.m",visualization,"(none needed)",yes
"test/verifiedTests/visualization/testVisualizeEpistasis/testFindSubsystemOfGenes.m",visualization,"(none needed)",yes
"test/verifiedTests/visualization/testVisualizeEpistasis/testVisualizeEpistasis.m",visualization,"(none needed)",yes
