http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=07LIN/ALG_1584	07LIN/ALG	spectrophotometry	A	1.1.1.87	homoisocitrate dehydrogenase	C05662 + C00003 = C00322 + C00288 + C00004	(1R,2S)-1-hydroxybutane-1,2,4-tricarboxylate(aq) + NAD(ox) = 2-oxoadipate(aq) + carbon dioxide(aq) + NAD(red)		0.45	298.15		7.5		1
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=67ENG/DEN_1165	67ENG/DEN	spectrophotometry	B	4.2.1.3	aconitate hydratase	C00311 = C00158	isocitrate(aq) = citrate(aq)		19	310.15		7.3		13
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=67ENG/DEN_1165	67ENG/DEN	spectrophotometry	B	4.2.1.3	aconitate hydratase	C00311 = C00158	isocitrate(aq) = citrate(aq)		28	310.15		7.3	1.3	14
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=67ENG/DEN_1165	67ENG/DEN	spectrophotometry	B	4.2.1.3	aconitate hydratase	C00311 = C00158	isocitrate(aq) = citrate(aq)		7.5	310.15		7.3		15
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=67ENG/DEN_1165	67ENG/DEN	spectrophotometry	B	4.2.1.3	aconitate hydratase	C00311 = C00158	isocitrate(aq) = citrate(aq)		17	310.15		7.3		16
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=67ENG/DEN_1165	67ENG/DEN	spectrophotometry	B	4.2.1.3	aconitate hydratase	C00311 = C00158	isocitrate(aq) = citrate(aq)		35	310.15		7.3	2.51	17
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=57ROB/BOY_544	57ROB/BOY	radioactivity	A	2.7.1.1	hexokinase	C00002 + C00031 = C00008 + C00092	ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq)		203	303.15		6.02	1.96	18
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=57ROB/BOY_544	57ROB/BOY	radioactivity	A	2.7.1.1	hexokinase	C00002 + C00031 = C00008 + C00092	ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq)		430	303.15		6	2.6	19
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=57ROB/BOY_544	57ROB/BOY	radioactivity	A	2.7.1.1	hexokinase	C00002 + C00031 = C00008 + C00092	ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq)		300	303.15		6.01	2.31	20
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=57ROB/BOY_544	57ROB/BOY	radioactivity	A	2.7.1.1	hexokinase	C00002 + C00031 = C00008 + C00092	ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq)		230	303.15		5.94	2.66	21
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=57ROB/BOY_544	57ROB/BOY	radioactivity	A	2.7.1.1	hexokinase	C00002 + C00031 = C00008 + C00092	ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq)		277	303.15		6.12	2.69	22
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=57ROB/BOY_544	57ROB/BOY	radioactivity	A	2.7.1.1	hexokinase	C00002 + C00031 = C00008 + C00092	ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq)		154	303.15		6.04	0.92	23
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=57ROB/BOY_544	57ROB/BOY	radioactivity	A	2.7.1.1	hexokinase	C00002 + C00031 = C00008 + C00092	ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq)		205	303.15		6.03	0.75	24
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=57ROB/BOY_544	57ROB/BOY	radioactivity	A	2.7.1.1	hexokinase	C00002 + C00031 = C00008 + C00092	ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq)		1310	303.15		7	0.81	25
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=57ROB/BOY_544	57ROB/BOY	radioactivity	A	2.7.1.1	hexokinase	C00002 + C00031 = C00008 + C00092	ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq)		139	303.15		5.99	0.83	26
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=57ROB/BOY_544	57ROB/BOY	radioactivity	A	2.7.1.1	hexokinase	C00002 + C00031 = C00008 + C00092	ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq)		88	303.15		5.7	0.84	27
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=57ROB/BOY_544	57ROB/BOY	radioactivity	A	2.7.1.1	hexokinase	C00002 + C00031 = C00008 + C00092	ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq)		245	303.15		6.03	2.12	28
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=57ROB/BOY_544	57ROB/BOY	radioactivity	A	2.7.1.1	hexokinase	C00002 + C00031 = C00008 + C00092	ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq)		193	303.15		6	1.07	29
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=57ROB/BOY_544	57ROB/BOY	radioactivity	A	2.7.1.1	hexokinase	C00002 + C00031 = C00008 + C00092	ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq)		222	303.15		6	0.98	30
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=57ROB/BOY_544	57ROB/BOY	radioactivity	A	2.7.1.1	hexokinase	C00002 + C00031 = C00008 + C00092	ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq)		249	303.15		6.02	2.67	31
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=57ROB/BOY_544	57ROB/BOY	radioactivity	A	2.7.1.1	hexokinase	C00002 + C00031 = C00008 + C00092	ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq)		286	303.15		6.34	0.82	32
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=57ROB/BOY_544	57ROB/BOY	radioactivity	A	2.7.1.1	hexokinase	C00002 + C00031 = C00008 + C00092	ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq)		172	303.15		5.94	1	33
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=57ROB/BOY_544	57ROB/BOY	radioactivity	A	2.7.1.1	hexokinase	C00002 + C00031 = C00008 + C00092	ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq)		304	303.15		6	2.4	34
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=57ROB/BOY_544	57ROB/BOY	radioactivity	A	2.7.1.1	hexokinase	C00002 + C00031 = C00008 + C00092	ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq)		123	303.15		6.01	1.1	35
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=57ROB/BOY_544	57ROB/BOY	radioactivity	A	2.7.1.1	hexokinase	C00002 + C00031 = C00008 + C00092	ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq)		618	303.15		6	2.6	36
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=57ROB/BOY_544	57ROB/BOY	radioactivity	A	2.7.1.1	hexokinase	C00002 + C00031 = C00008 + C00092	ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq)		186	303.15		6.03	1.85	37
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=57ROB/BOY_544	57ROB/BOY	radioactivity	A	2.7.1.1	hexokinase	C00002 + C00031 = C00008 + C00092	ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq)		222	303.15		5.94	2.66	38
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=2.&T1=57ROB/BOY_544	57ROB/BOY	radioactivity	A	2.7.1.1	hexokinase	C00002 + C00031 = C00008 + C00092	ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq)		222	303.15		5.94	2.66	39
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=2.&T1=57ROB/BOY_544	57ROB/BOY	radioactivity	A	2.7.1.1	hexokinase	C00002 + C00031 = C00008 + C00092	ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq)		294	303.15		6.07	2.67	40
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=2.&T1=57ROB/BOY_544	57ROB/BOY	radioactivity	A	2.7.1.1	hexokinase	C00002 + C00031 = C00008 + C00092	ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq)		540	303.15		6.67	0.82	41
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=2.&T1=57ROB/BOY_544	57ROB/BOY	radioactivity	A	2.7.1.1	hexokinase	C00002 + C00031 = C00008 + C00092	ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq)		214	303.15		6.03	0.75	42
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=2.&T1=57ROB/BOY_544	57ROB/BOY	radioactivity	A	2.7.1.1	hexokinase	C00002 + C00031 = C00008 + C00092	ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq)		184	303.15		6.04	1.04	43
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=2.&T1=57ROB/BOY_544	57ROB/BOY	radioactivity	A	2.7.1.1	hexokinase	C00002 + C00031 = C00008 + C00092	ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq)		356	303.15		6.08	2.31	44
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=2.&T1=57ROB/BOY_544	57ROB/BOY	radioactivity	A	2.7.1.1	hexokinase	C00002 + C00031 = C00008 + C00092	ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq)		303	303.15		6.07	2.67	45
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=2.&T1=57ROB/BOY_544	57ROB/BOY	radioactivity	A	2.7.1.1	hexokinase	C00002 + C00031 = C00008 + C00092	ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq)		260	303.15		6.03	0.93	46
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=2.&T1=57ROB/BOY_544	57ROB/BOY	radioactivity	A	2.7.1.1	hexokinase	C00002 + C00031 = C00008 + C00092	ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq)		299	303.15		6.07	2.67	47
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=62ESP_704	62ESP	radioactivity and spectrophotometry	C	2.7.7.27	glucose-1-phosphate adenylyltransferase	C00002 + C00103 = C00498 + C00013	ATP(aq) + D-glucose 1-phosphate(aq) = ADPglucose(aq) + pyrophosphate(aq)		1.1	310.15		7.9		48
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=53STE/COO_718	53STE/COO	spectrophotometric	C	2.8.3.5	3-oxoacid CoA-transferase	C00091 + C00164 = C00042 + C00332	succinyl-CoA(aq) + acetoacetate(aq) = succinate(aq) + acetoacetyl-CoA(aq)		0.01	298.15		8.1		49
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=68SU/RUS_660	68SU/RUS	paper chromatography and spectrophotometry	B	2.7.4.3	adenylate kinase	2 C00206 = C00360 + C00131	2 dADP(aq) = dAMP(aq) + dATP(aq)		0.83	303.15		7	2.09	50
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=68SU/RUS_660	68SU/RUS	paper chromatography and spectrophotometry	B	2.7.4.3	adenylate kinase	2 C00206 = C00360 + C00131	2 dADP(aq) = dAMP(aq) + dATP(aq)		0.27	303.15		7	1.19	51
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=68SU/RUS_660	68SU/RUS	paper chromatography and spectrophotometry	B	2.7.4.3	adenylate kinase	2 C00206 = C00360 + C00131	2 dADP(aq) = dAMP(aq) + dATP(aq)		0.306	303.15		7	1.49	52
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=68SU/RUS_660	68SU/RUS	paper chromatography and spectrophotometry	B	2.7.4.3	adenylate kinase	2 C00206 = C00360 + C00131	2 dADP(aq) = dAMP(aq) + dATP(aq)		0.563	303.15		7	1.8	53
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=74FER/STR_1112	74FER/STR	enzymatic assay and spectrophotometry	B	4.1.2.-	D-arabino-3-hexulose phosphate formaldehyde lyase	C06019 = C00199 + C00067	D-arabino-3-hexulose 6-phosphate(aq) = D-ribulose 5-phosphate(aq) + formaldehyde(aq)		4E-05	303.15		7		54
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=80COO/BLA_286	80COO/BLA	spectrophotometry	B	1.4.1.3	glutamate dehydrogenase (NAD(P)+)	C00025 + C00006 + C00001 = C00026 + C00005 + C00014	L-glutamate(aq) + NADP(aq) + H2O(l) = 2-oxoglutarate(aq) + NADPH(aq) + ammonia(aq)		1.4E-05	298.15		8.5		55
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=65DAW/DIC_103	65DAW/DIC	spectrophotometry	C	1.1.1.27	L-lactate dehydrogenase	C00186 + C00003 = C00022 + C00004	(S)-lactate(aq) + NAD(aq) = pyruvate(aq) + NADH(aq)		0.0024	298.15		9		56
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=64ROS/RAP_311	64ROS/RAP	spectrophotometry	C	1.6.4.2	glutathione reductase (NAD(P)H)	2 C00051 + C00003 = C00127 + C00004	2 reduced glutathione(aq) + NAD(aq) =  oxidized glutathione(aq) + NADH(aq)		0.001	313.15		7		57
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=60FEI/NEU_1270	60FEI/NEU	electrophoresis and radioactivity	B	5.1.3.6	UDPglucuronate 4-epimerase	C00167 = C00617	UDP-D-glucuronate(aq) = UDP-D-galacturonate(aq)		1.1	310.15		7.5		58
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=52STA_394	52STA	spectrophotometry	C	2.3.1.8	phosphate acetyltransferase	C00024 + C00009 = C00010 + C00227	acetyl-CoA(aq) + orthophosphate(aq) = CoA(aq) + acetyl phosphate(aq)		0.017	301.15		8.1		59
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=51BLI_35	51BLI	spectrophotometry	C	1.1.1.1	alcohol dehydrogenase	C00473 + C00003 = C00376 + C00004	vitamin A alcohol(aq) + NAD(aq) = vitamin A aldehyde(aq) + NADH(aq)		0.033	310.15		7		60
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=51BLI_35	51BLI	spectrophotometry	C	1.1.1.1	alcohol dehydrogenase	C00473 + C00003 = C00376 + C00004	vitamin A alcohol(aq) + NAD(aq) = vitamin A aldehyde(aq) + NADH(aq)		0.33	310.15		8		61
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=51BLI_35	51BLI	spectrophotometry	C	1.1.1.1	alcohol dehydrogenase	C00473 + C00003 = C00376 + C00004	vitamin A alcohol(aq) + NAD(aq) = vitamin A aldehyde(aq) + NADH(aq)		3.3	310.15		9		62
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=93LAR/TEW_759	93LAR/TEW	HPLC	A	3.1.3.1	alkaline phosphatase	C00020 + C00001 = C00212 + C00009	AMP(aq) + H2O(l) = adenosine(aq) + orthophosphate(aq)		189	298.15		8.86	4.5	63
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=56KAP/CIO_110	56KAP/CIO	spectrophotometry	C	1.1.1.27	L-lactate dehydrogenase	C00186 + C80057 = C00022 + C80058	(S)-lactate(aq) + AP-NAD(aq)= pyruvate(aq) + AP-NADH(aq)		0.27	303.15		9		64
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=72CAG/FRI_570	72CAG/FRI	spectrophotometry	C	2.7.1.80	pyrophosphate-serine phosphotransferase	C00013 + C00065 = C00009 + C01005	pyrophosphate(aq) + L-serine(aq) = orthophosphate(aq) + O-phospho-L-serine(aq)		480	310.15		6.7		65
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=72CAG/FRI_570	72CAG/FRI	spectrophotometry	C	2.7.1.80	pyrophosphate-serine phosphotransferase	C00013 + C00065 = C00009 + C01005	pyrophosphate(aq) + L-serine(aq) = orthophosphate(aq) + O-phospho-L-serine(aq)		480	310.15		6.7		66
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=72CAG/FRI_570	72CAG/FRI	spectrophotometry	C	2.7.1.80	pyrophosphate-serine phosphotransferase	C00013 + C00065 = C00009 + C01005	pyrophosphate(aq) + L-serine(aq) = orthophosphate(aq) + O-phospho-L-serine(aq)		918	310.15		7.7		67
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=72CAG/FRI_570	72CAG/FRI	spectrophotometry	C	2.7.1.80	pyrophosphate-serine phosphotransferase	C00013 + C00065 = C00009 + C01005	pyrophosphate(aq) + L-serine(aq) = orthophosphate(aq) + O-phospho-L-serine(aq)		391	310.15		6.7		68
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=72CAG/FRI_570	72CAG/FRI	spectrophotometry	C	2.7.1.80	pyrophosphate-serine phosphotransferase	C00013 + C00065 = C00009 + C01005	pyrophosphate(aq) + L-serine(aq) = orthophosphate(aq) + O-phospho-L-serine(aq)		991	310.15		7.7		69
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=72CAG/FRI_570	72CAG/FRI	spectrophotometry	C	2.7.1.80	pyrophosphate-serine phosphotransferase	C00013 + C00065 = C00009 + C01005	pyrophosphate(aq) + L-serine(aq) = orthophosphate(aq) + O-phospho-L-serine(aq)		470	310.15		6.7		70
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=72CAG/FRI_570	72CAG/FRI	spectrophotometry	C	2.7.1.80	pyrophosphate-serine phosphotransferase	C00013 + C00065 = C00009 + C01005	pyrophosphate(aq) + L-serine(aq) = orthophosphate(aq) + O-phospho-L-serine(aq)		388	310.15		6.7		71
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=63SCO/DUN_313	63SCO/DUN	spectrophotometry	B	1.6.4.2	glutathione reductase (NAD(P)H)	2 C00051 + C00006 = C00127 + C00005	2 reduced glutathione(aq) + NADP(aq) =  oxidized glutathione(aq) + NADPH(aq)		0.00644	283.15		6.8		72
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=63SCO/DUN_313	63SCO/DUN	spectrophotometry	B	1.6.4.2	glutathione reductase (NAD(P)H)	2 C00051 + C00006 = C00127 + C00005	2 reduced glutathione(aq) + NADP(aq) =  oxidized glutathione(aq) + NADPH(aq)		0.00595	313.15		6.8		73
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=63SCO/DUN_313	63SCO/DUN	spectrophotometry	B	1.6.4.2	glutathione reductase (NAD(P)H)	2 C00051 + C00006 = C00127 + C00005	2 reduced glutathione(aq) + NADP(aq) =  oxidized glutathione(aq) + NADPH(aq)		0.00644	298.15		6.8		74
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=63SLY/STA_401	63SLY/STA	spectrophotometric	B	2.3.1.8	phosphate acetyltransferase	C00798 + C00009 = C00010 + C02405	formyl-CoA(aq) + orthophosphate(aq) =  CoA(aq) + formyl phosphate(aq)		0.14	303.15		6.85		75
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=87RAO/HAR_555	87RAO/HAR	enzymatic assay and spectrophotometry	B	2.7.1.11	6-phosphofructokinase	C00002 + C00085 = C00008 + C00354	ATP(aq) + D-fructose 6-phosphate(aq) = ADP(aq) + D-fructose 1,6-bisphosphate(aq)		150	303.15		6.8		76
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=87RAO/HAR_555	87RAO/HAR	enzymatic assay and spectrophotometry	B	2.7.1.11	6-phosphofructokinase	C00002 + C00085 = C00008 + C00354	ATP(aq) + D-fructose 6-phosphate(aq) = ADP(aq) + D-fructose 1,6-bisphosphate(aq)		2900	303.15		8		77
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=99HUT/OEH_1552	99HUT/OEH	calorimetry	B	3.2.1.26	-fructofuranosidase	C00089 + C00001 = C00031 + C00095	sucrose(aq) + H2O(l) = D-glucose(aq) + D-fructose(aq)			298.15		4.6		78
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=62HOR_1266	62HOR	radioactivity	C	5.1.3.4	L-ribulose-phosphate 4-epimerase	C01101 = C00231	L-ribulose 5-phosphate(aq) = D-xylulose 5-phosphate(aq)		1	310.15		6		79
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=55YAN/GIL_83	55YAN/GIL	spectrophotometry	B	1.1.1.25	shikimate dehydrogenase	C00493 + C00006 = C02652 + C00005	shikimate(aq) + NADP(aq) = 5-dehydroshikimate(aq) + NADPH(aq)		0.0361	303.15		7		80
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=55YAN/GIL_83	55YAN/GIL	spectrophotometry	B	1.1.1.25	shikimate dehydrogenase	C00493 + C00006 = C02652 + C00005	shikimate(aq) + NADP(aq) = 5-dehydroshikimate(aq) + NADPH(aq)		0.175	303.15		7.9		81
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=91SCH/GIF_69	91SCH/GIF	spectrophotometry	C	1.1.1.14	L-iditol dehydrogenase	C00794 + C00003 = C00095 + C00004	D-sorbitol(aq) + NAD(aq) = D-fructose(aq) + NADH(aq)		0.032	298.15		7		82
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=71KAT_220	71KAT	spectrophotometry	B	1.1.1.153	sepiapterin reductase	C02953 + C00006 = C00835 + C00005	7,8-dihydrobiopterin(aq) + NADP(aq) = sepiapterin(aq) + NADPH(aq)		0.043	298.15		7.65		83
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=71KAT_220	71KAT	spectrophotometry	B	1.1.1.153	sepiapterin reductase	C02953 + C00006 = C00835 + C00005	7,8-dihydrobiopterin(aq) + NADP(aq) = sepiapterin(aq) + NADPH(aq)		0.13	298.15		7.6		84
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=71KAT_220	71KAT	spectrophotometry	B	1.1.1.153	sepiapterin reductase	C02953 + C00006 = C00835 + C00005	7,8-dihydrobiopterin(aq) + NADP(aq) = sepiapterin(aq) + NADPH(aq)		0.021	298.15		7.8		85
