met_id,abbreviation,chargedFormula,charge
99,adrnl,C9H14NO3,1
100,mma,C1H6N,1
101,nrpphr,C8H12NO3,1
102,4abut,C4H9NO2,0
103,coucoa,C30H38N7O18P3S1,-4
104,4hbzcoa,C28H36N7O18P3S,-4
105,accoa,C23H34N7O17P3S,-4
106,4hbz,C7H5O3,-1
107,4hdebrisoquine,C10H14N3O,1
108,4hglusa,C5H9NO4,0
109,e4hglu,C5H8NO5,-1
110,4hoxpacd,C8H8O2,0
111,4hphac,C8H7O3,-1
112,4mop,C6H9O3,-1
113,4mptnl,C6H12O,0
114,4mtolbutamide,C12H18N2O4S,0
115,4nphsf,C6H4NO6S,-1
116,4nph,C6H5NO3,0
117,4pyrdx,C8H9NO4,0
118,5adtststeroneglc,C25H38O8,0
119,5adtststerones,C19H29O5S,-1
120,5adtststerone,C19H30O2,0
121,5aop,C5H9NO3,0
122,5dhf,C39H43N11O18,-6
123,5fthf,C20H21N7O7,-2
124,5htrp,C11H12N2O3,0
125,srtn, which display a wider and much more sophisticated behavioral repertoire, serotonin also modulates sleep
126,5homeprazole,C17H19N3O4S,0
127,5hoxindact,C10H9NO2,0
128,5hoxindoa,C10H8NO3,-1
129,5hoxnfkyn,C11H12N2O5,0
130,5hxkyn,C10H12N2O4,0
131,5hxkynam,C9H13N2O2,1
132,46dhoxquin,C9H7NO2,0
133,5mthf,C20H24N7O6,-1
134,5thf,C39H45N11O18,-6
135,6dhf,C44H49N12O21,-7
136,6htststerone,C19H28O3,0
137,6thf,C44H51N12O21,-7
138,7dhchsterol,C27H44O,0
139,7dhf,C49H55N13O24,-8
140,7thf,C49H57N13O24,-8
141,m2mn,C26H45NO21,0
142,man,C6H12O6,0
143,mn,C14H25NO11,0
144,galgluside_hs,C30H56NO12FULLRCO,0
145,udpgal,C15H22N2O17P2,-2
146,thcrm_hs,C36H66NO17FULLRCO,0
147,udp,C9H11N2O12P2,-3
148,T_antigen,C14H24NO10X,0
149,uacgam,C17H25N3O17P2,-2
150,gncore1,C22H37N2O15X,0
151,core2,C22H37N2O15X,0
152,gncore2,C30H50N3O20X,0
153,acac,C4H5O3,-1
154,aacoa,C25H36N7O18P3S,-4
155,amp,C10H12N5O7P,-2
156,ppi,HO7P2,-3
157,aact,C3H8NO,1
158,mthgxl,C3H4O2,0
159,L2aadp6sa,C6H11NO3,0
160,fucgalacglcgalgluside_hs,C50H89N2O26FULLRCO,0
161,udpacgal,C17H25N3O17P2,-2
162,acgalfucgalacglcgalgluside_hs,C58H102N3O31FULLRCO,0
163,galfucgalacglcgalgluside_hs,C56H99N2O31FULLRCO,0
164,fuc12gal14acglcgalgluside_hs,C50H89N2O26FULLRCO,0
165,galfuc12gal14acglcgalgluside_hs,C56H99N2O31FULLRCO,0
166,acgalfuc12gal14acglcgalgluside_hs,C58H102N3O31FULLRCO,0
167,fucgalacgalfuc12gal14acglcgalgluside_hs,C70H122N3O40FULLRCO,0
168,acgalfucgalacgalfuc12gal14acglcgalgluside_hs,C78H135N4O45FULLRCO,0
169,fucgalacglcgal14acglcgalgluside_hs,C64H112N3O36FULLRCO,0
170,acgalfucgalacglcgal14acglcgalgluside_hs,X,0
171,fucgalacgalfucgalacglcgal14acglcgalgluside_hs,X,0
172,acgalfucgalacgalfucgalacglcgal14acglcgalgluside_hs,C92H158N5O55FULLRCO,0
173,galfucgalacglcgal14acglcgalgluside_hs,C70H122N3O41FULLRCO,0
174,fucfucgalacglcgalacglcgal14acglcgalgluside_hs,C84H145N4O50FULLRCO,0
175,galgalfucfucgalacglcgalacglcgal14acglcgalgluside_hs,C96H165N4O60FULLRCO,0
176,sucsal,C4H5O3,-1
177,abt,C5H12O5,0
178,xylu_L,C5H10O5,0
179,4abutn,C4H10NO,1
180,2maacoa,C26H38N7O18P3S,-4
181,ppcoa,C24H36N7O17P3S,-4
182,3odcoa,C31H48N7O18P3S,-4
183,occoa,C29H46N7O17P3S,-4
184,3oddcoa,C33H52N7O18P3S,-4
185,dcacoa,C31H50N7O17P3S,-4
186,3otdcoa,C35H56N7O18P3S,-4
187,ddcacoa,C33H54N7O17P3S,-4
188,3ohdcoa,C37H60N7O18P3S,-4
189,tdcoa,C35H58N7O17P3S,-4
190,3ohodcoa,C39H64N7O18P3S,-4
191,pmtcoa,C37H62N7O17P3S,-4
192,3ohxccoa,C47H80N7O18P3S,-4
193,ttccoa,C45H78N7O17P3S,-4
194,acald,C2H4O,0
195,malcoa,C24H33N7O19P3S,-5
196,ppa,C3H5O2,-1
197,acetone,C3H6O,0
198,acgagbside_hs,C52H92N3O27FULLRCO,0
199,acgal,C8H15NO6,0
200,acgal1p,C8H14NO9P,-2
201,itp,C10H11N4O14P3,-4
202,idp,C10H11N4O11P2,-3
203,acgam,C8H15NO6,0
204,acmana,C8H15NO6,0
205,gam6p,C6H13NO8P,-1
206,acgam6p,C8H14NO9P,-2
207,acgam1p,C8H14NO9P,-2
208,acgbgbside_hs,C52H92N3O27FULLRCO,0
209,acgpail_hs,C17H29NO14PFULLRCO2FULLR2CO2,-1
210,ac,C2H3O2,-1
211,gpail_hs,C15H28NO13PFULLRCO2FULLR2CO2,0
212,acglu,C7H9NO5,-2
213,ach,C7H16NO2,1
214,chol,C5H14NO,1
215,cit, primary hypomagnesemia, propionic acidemia
216,oaa,C4H2O5,-2
217,acn13acngalgbside_hs,C72H121N4O43FULLRCO,-2
218,acn23acngalgbside_hs,C72H121N4O43FULLRCO,-2
219,acnacngal14acglcgalgluside_hs,C66H111N4O38FULLRCO,-2
220,acnacngalgbside_hs,C72H121N4O43FULLRCO,-2
221,acmanap,C8H14NO9P,-2
222,pep,C3H2O6P,-3
223,acnamp,C11H17NO12P,-3
224,man6p,C6H11O9P,-2
225,kdnp,C9H14O12P,-3
226,acnam, GI, respiratory tract)
227,acngalacglcgal14acglcgalgluside_hs,C69H118N4O40FULLRCO,-1
228,2mbcoa,C26H40N7O17P3S,-4
229,fad,C27H31N9O15P2,-2
230,2mb2coa,C26H38N7O17P3S,-4
231,fadh2,C27H33N9O15P2,-2
232,btcoa,C25H38N7O17P3S,-4
233,ivcoa,C26H40N7O17P3S,-4
234,3mb2coa,C26H38N7O17P3S,-4
235,ibcoa,C25H38N7O17P3S,-4
236,2mp2coa,C25H36N7O17P3S,-4
237,hdd2coa,C37H60N7O17P3S,-4
238,ACP,C11H21N2O7PRS,-1
239,acACP,C13H23N2O8PRS,-1
240,acorn,C7H14N2O3,0
241,orn,C5H13N2O2,1
242,icit,C6H5O7,-3
243,dhcholoylcoa,C48H74N7O19P3S,-4
244,thcholoylcoa,C48H76N7O20P3S,-4
245,cholcoas,C48H76N7O20P3S,-4
246,cholcoads,C48H74N7O20P3S,-4
247,fmn,C17H19N4O9P,-2
248,ribflv,C17H20N4O6,0
249,acrn,C9H17NO4,0
250,5moxact,C11H10NO3,-1
251,Nacsertn,C12H14N2O2,0
252,melatn,C13H16N2O2,0
253,acetol,C3H6O2,0
254,13dpg,C3H4O10P2,-4
255,3pg,C3H4O7P,-3
256,ins,C10H12N4O5,0
257,ade,C5H5N5,0
258,adhap_hs,C3H4O6PFULLRCO,-2
259,gtp,C10H12N5O14P3,-4
260,gdp,C10H12N5O11P2,-3
261,damp,C10H12N5O6P,-2
262,datp, and widespread skin rashes. The mechanism by which dATP functions as an immunotoxin is as follows: a buildup of dATP in cells inhibits ribonucleotide reductase and prevents DNA synthesis, so cells are unable to divide. Since developing T cells and B cells are some of the most mitotically active cells
263,dadp,C10H12N5O9P2,-3
264,ametam,C14H24N6O3S,2
265,camp,C10H11N5O6P,-1
266,adpglc,C16H23N5O15P2,-2
267,g1p,C6H11O9P,-2
268,adpman,C16H23N5O15P2,-2
269,man1p,C6H11O9P,-2
270,adprib,C15H21N5O14P2,-2
271,r5p,C5H9O8P,-2
272,prpp,C5H8O14P3,-5
273,adrncoa,C43H66N7O17P3S,-4
274,crn, which is sometimes considered to be a B vitamin, carnitine is also an alcohol (specifically
275,adrncrn,C29H49NO4,0
276,adrn,C22H35O2,-1
277,adsel,C10H12N5O10PSe,-2
278,3padsel,C10H11N5O13P2Se,-4
279,aps,C10H12N5O10PS,-2
280,dcamp,C14H14N5O11P,-4
281,fum,C4H2O4,-2
282,25aics,C13H15N4O12P,-4
283,aicar,C9H13N4O8P,-2
284,imp,C10H11N4O8P,-2
285,aflatoxin,C17H12O6,0
286,ksi_pre18,C163H262N11O132S5X,-6
287,ksi_pre19,C171H275N12O137S5X,-6
288,ksi_pre21,C177H284N12O145S6X,-7
289,ksi_pre22,C185H297N13O150S6X,-7
290,ksi_pre24,C191H306N13O158S7X,-8
291,ksi_pre25,C199H319N14O163S7X,-8
292,ksi_pre27,C205H328N14O171S8X,-9
293,ksi_pre28,C213H341N15O176S8X,-9
294,ksi_pre30,C219H350N15O184S9X,-10
295,ksi_pre31,C227H363N16O189S9X,-10
296,ksi_pre33,C233H372N16O197S10X,-11
297,ksi_pre34,C241H385N17O202S10X,-11
298,ksii_core4_pre2,C47H76N4O33X,-1
299,ksii_core4_pre3,C55H89N5O38X,-1
300,ksii_core4_pre4,C61H99N5O43X,-1
301,ksii_core4_pre5,C69H112N6O48X,-1
302,ksii_core4_pre7,C75H121N6O56SX,-2
303,ksii_core4_pre8,C83H134N7O61SX,-2
304,ksii_core2_pre2,C39H63N3O28X,-1
305,ksii_core2_pre3,C47H76N4O33X,-1
306,ksii_core2_pre4,C53H86N4O38X,-1
307,ksii_core2_pre5,C61H99N5O43X,-1
308,ksii_core2_pre7,C67H108N5O51SX,-2
309,ksii_core2_pre8,C75H121N6O56SX,-2
310,ksi_pre1,C79H129N5O57X,-1
311,ksi_pre2,C87H142N6O62X,-1
312,ksi_pre3,C93H152N6O67X,-1
313,ksi_pre4,C101H165N7O72X,-1
314,ksi_pre6,C107H174N7O80SX,-2
315,ksi_pre7,C115H187N8O85SX,-2
316,ksi_pre9,C121H196N8O93S2X,-3
317,ksi_pre10,C129H209N9O98S2X,-3
318,ksi_pre12,C135H218N9O106S3X,-4
319,ksi_pre13,C143H231N10O111S3X,-4
320,ksi_pre15,C149H240N10O119S4X,-5
321,ksi_pre16,C157H253N11O124S4X,-5
322,ak2g_hs,C5H10O2FULLRFULLR2CO2,0
323,cdpchol,C14H25N4O11P2,-1
324,ak2gchol_hs,C10H20O5NPFULLRFULLR2CO,0
325,cmp," the administration of CMP/UMP appears to favour the entry of glucose in the muscle and CMP/UMP may be important in maintaining the level of hepatic glycogen constant during exercise. [PMID:18663991].""",
326,ak2gpe_hs,C7H16O5NPFULLRFULLR2CO,0
327,dak2gpe_hs,C7H14O5NPFULLRFULLR2CO,0
328,cdpea,C11H19N4O11P2,-1
329,ak2gp_hs,C5H9O6PFULLRFULLR2CO,-2
330,akdhap_hs,C3H4O6PFULLRC2H4,-2
331,akgp_hs,C4H10O4PFULLRCO2,-2
332,Rtotal2,CO2FULLR2,-1
333,agm,C5H16N4,2
334,ptrc,C4H14N2,2
335,urea,CH4N2O,0
336,Rtotal2coa,CO2FULLR2C21H31N7O15P3S,-4
337,alpa_hs,C3H4O5PFULLRCO2,-2
338,pa_hs,C3H5O4PFULLRCO2FULLR2CO2,-2
339,acg5p,C7H9NO8P,-3
340,acg5sa,C7H10NO4,-1
341,alkylR1oh,C2H5OFULLR,0
342,Rtotal,CO2FULLR,-1
343,ala_L,C3H7NO2,0
344,glx,C2H1O3,-1
345,gly,C2H5NO2,0
346,ahandrostanglc,C25H38O8,0
347,hcys_L,C4H9NO2S,0
348,n2m2nmn,C50H84N4O36,0
349,n2m2mn,C42H71N3O31,0
350,fprica,C10H13N4O9P,-2
351,thf,C19H21N7O6,-2
352,air,C8H12N3O7P,-2
353,5aizc,C9H11N3O9P,-3
354,ak2lgchol_hs,C10H21O5NPFULLR,0
355,succoa,C25H35N7O19P3S,-5
356,mal_L,C4H4O5,-2
357,prgstrn,C21H30O2,0
358,aprgstrn,C21H32O2,0
359,xol7ah,C27H46O2,0
360,xol7ah2,C27H48O2,0
361,xoldioloneh,C27H46O3,0
362,xoltriol,C27H48O3,0
363,xol7aone,C27H44O2,0
364,xoldiolone,C27H44O3,0
365,asn_L, modification of the protein chain with the addition of carbohydrate chains. A reaction between asparagine and reducing sugars or reactive carbonyls produces acrylamide (acrylic amide) in food when heated to sufficient temperature, i.e. baking. These occur primarily in baked goods such as french fries
366,cys_L,C3H7NO2S,0
367,ala_D,C3H7NO2,0
368,gln_L," even though glutamine is thought to have ""cleansing"" properties and effects", it is unknown to what extent glutamine has clinical benefits
369,ser_L,C3H7NO3,0
370,thr_L,C4H9NO3,0
371,meoh,CH4O1,0
372,fald,CH2O,0
373,12ppd_R,C3H8O2,0
374,lald_D,C3H6O2,0
375,12ppd_S,C3H8O2,0
376,lald_L,C3H6O2,0
377,etoh,C2H6O,0
378,id3acald,C10H9NO,0
379,ind3ac,C10H8NO2,-1
380,pristanal,C19H38O,0
381,prist,C19H37O2,-1
382,aldstrn,C21H28O5,0
383,dhap,C3H5O6P,-2
384,dha,C3H6O3,0
385,arachd,C20H31O2,-1
386,12HPET,C20H31O4,-1
387,12RHPET,C20H31O4,-1
388,15HPET,C20H31O4,-1
389,5HPET,C20H31O4,-1
390,leuktrA4,C20H29O3,-1
391,dhcholestancoa,C48H76N7O19P3S,-4
392,cholcoar,C48H76N7O20P3S,-4
393,amuco,C6H6NO4,-1
394,cgly,C5H10N2O3S,0
395,strch1,C66H112O56,0
396,glc_D,C6H12O6,0
397,strch2,C18H32O16,0
398,glygn2,C66H111O56X,0
399,glygn4,C18H31O16X,0
400,andrstrnglc,C25H38O8,0
401,andrstrn,C19H30O2,0
402,antipyrene,C11H12N2O,0
403,2aobut,C4H7NO3,0
404,ap4a,C20H24N10O19P4,-4
405,ala_B,C3H7NO2,0
406,apnnox,C10H16O,0
407,apoC,XH,0
408,lys_L,C6H15N2O2,1
409,apoC_Lys,C6H13N2OX,0
410,apoC_Lys_btn,C16H27N4O3SX,0
411,biocyt,C16H28N4O4S,0
412,appnn," achiral 7 (dipentene hydrochloride) is the major product along with some 6b. Nitrosyl chloride followed by base leads to the oxime 8 which can be reduced to ""pinylamine"" 9. Both 8 and 9 are stable compounds containing an intact four-membered ring"," and these compounds helped greatly in identifying this important component of the pinene skeleton. (Wikipedia)."""
413,aprut,C6H15N2O,1
414,n4abutn,C6H11NO2,0
415,aqcobal,C62H93CoN13O15P,0
416,arab_L,C5H10O5,0
417,arachcoa,C41H70N7O17P3S,-4
418,arachcrn,C27H53NO4,0
419,arachdcoa,C41H62N7O17P3S,-4
420,arach,C20H39O2,-1
421,arg_L,C6H15N4O2,1
422,argsuc,C10H17N4O6,-1
423,citr_L,C6H13N3O3,0
424,sgalside_hs,C24H45NO10SFULLRCO,-1
425,galside_hs, but they can amount to 2% of the dry weight of grey matter and 12% of white matter. They are major constituents of oligodendrocytes. Synthesis of galactosylceramide takes place on the lumenal surface of the endoplasmic reticulum, although it has free access to the cytosolic surface by an energy-independent flip-flop process. GalCer sits in the extracellular leaflet of cell membranes in nanometer sized domains or rafts. The local clustering of GalCer within rafts is thought to facilitate the initial adhesion of certain viruses
426,so4,O4S,-2
427,Rtotalcoa,CO2FULLRC21H31N7O15P3S,-4
428,Rtotal3coa,CO2FULLR3C21H31N7O15P3S,-4
429,Rtotal3,CO2FULLR3,-1
430,R1coa_hs,XCO2C21H31N7O15P3S,-4
431,hdcoa,C37H60N7O17P3S,-4
432,lnlncacoa,C39H60N7O17P3S,-4
433,R2coa_hs,XCO2C21H31N7O15P3S,-4
434,lnlncgcoa,C39H60N7O17P3S,-4
435,strdnccoa,C39H58N7O17P3S,-4
436,dlnlcgcoa, as well as between saturated and unsaturated fatty acids, play an important role in biological processes
437,tmndnccoa,C41H60N7O17P3S,-4
438,lnlccoa,C39H62N7O17P3S,-4
439,clpndcoa,C43H64N7O17P3S,-4
440,dcsptn1coa,C43H64N7O17P3S,-4
441,c226coa,C43H62N7O17P3S,-4
442,stcoa,C39H66N7O17P3S,-4
443,R3coa_hs,XCO2C21H31N7O15P3S,-4
444,odecoa,C39H64N7O17P3S,-4
445,lneldccoa,C39H62N7O17P3S,-4
446,R4coa_hs,XCO2C21H31N7O15P3S,-4
447,nrvnccoa,C45H76N7O17P3S,-4
448,od2coa,C39H64N7O17P3S,-4
449,R5coa_hs,XCO2C21H31N7O15P3S,-4
450,hexccoa,C47H82N7O17P3S,-4
451,eicostetcoa,C41H62N7O17P3S,-4
452,tetpent6coa,C45H68N7O17P3S,-4
453,tetpent3coa,C45H68N7O17P3S,-4
454,tettet6coa,C45H70N7O17P3S,-4
455,tethex3coa,C45H66N7O17P3S,-4
456,R6coa_hs,XCO2C21H31N7O15P3S,-4
457,crm_hs,C18H36NO2FULLRCO,0
458,sphings,C18H38NO2,1
459,ascb_L,C6H7O6,-1
460,o2s, including reduced lifespan, liver cancer
461,dhdascb,C6H6O6,0
462,Asn_X_Ser_Thr,XH,0
463,cbp,CH2NO5P,-2
464,cbasp,C5H6N2O5,-2
465,asp_D,C4H6NO4,-1
466,k,K,1
467,Nacasp,C6H7NO5,-2
468,avite1, the most abundant sources of vitamin E are vegetable oils such as palm oil, sunflower
469,avite2,C29H44O2,0
470,gbside_hs,C44H79N2O22FULLRCO,0
471,ga2_hs,C38H69N2O17FULLRCO,0
472,ga1_hs,C44H79N2O22FULLRCO,0
473,gm2_hs,C49H85N3O25FULLRCO,-1
474,gm1_hs,C55H95N3O30FULLRCO,-1
475,gd2_hs,C60H101N4O33FULLRCO,-2
476,gd1b_hs,C66H111N4O38FULLRCO,-2
477,gt2_hs,C71H117N5O41FULLRCO,-3
478,gt1c_hs,C77H127N5O46FULLRCO,-3
479,galgbside_hs,C50H89N2O27FULLRCO,0
480,acglcgalgluside_hs,C38H69N2O17FULLRCO,0
481,galacglcgalgluside_hs,C44H79N2O22FULLRCO,0
482,gal14acglcgalgluside_hs,C44H79N2O22FULLRCO,0
483,acglcgal14acglcgalgluside_hs,C52H92N3O27FULLRCO,0
484,galacglcgal14acglcgalgluside_hs,C58H102N3O32FULLRCO,0
485,acglc13galacglcgal14acglcgalgluside_hs,C66H115N4O37FULLRCO,0
486,galacgalfuc12gal14acglcgalgluside_hs,X,0
487,galacgalfucgalacglcgal14acglcgalgluside_hs,X,0
488,acglcgalacglcgal14acglcgalgluside_hs,C66H115N4O37FULLRCO,0
489,galacglcgalacglcgal14acglcgalgluside_hs,C72H125N4O42FULLRCO,0
490,galacglc13galacglcgal14acglcgalgluside_hs,C72H125N4O42FULLRCO,0
491,galthcrm_hs,C42H76NO22FULLRCO,0
492,galgalthcrm_hs,C48H86NO27FULLRCO,0
493,galgalgalthcrm_hs,C54H96NO32FULLRCO,0
494,acglcgalgbside_hs,C58H102N3O32FULLRCO,0
495,galacglcgalgbside_hs,C64H112N3O37FULLRCO,0
496,gm2a_hs,C49H85N3O25FULLRCO,-1
497,gm1a_hs,C55H95N3O30FULLRCO,-1
498,gluside_hs,C24H46NO7FULLRCO,0
499,cholcoa,C45H70N7O20P3S,-4
500,gchola,C26H43NO6,0
501,taur,C2H7NO3S,0
502,tchola,C26H45NO7S,0
503,dgcholcoa,C45H70N7O19P3S,-4
504,dgchol,C26H43NO5,0
505,dcholcoa,C45H70N7O19P3S,-4
506,btn,C10H15N2O3S,-1
507,btamp,C20H27N7O9PS,-1
508,4tmeabutn,C7H15NO2,0
509,succ,C4H4O4,-2
510,caro,C40H56,0
511,retinal,C20H28O,0
512,bdg2hc,C15H18O8,0
513,2coum,C9H7O3,-1
514,bhb,C4H7O3,-1
515,chito2pdol_L,C1240H2028N20O170P20,-20
516,gdpmann,C16H23N5O16P2,-2
517,mpdol_L,C1300H2128N20O220P20,-20
518,chito2pdol_U,C1185H1940N20O170P20,-20
519,mpdol_U,C1245H2040N20O220P20,-20
520,betald,C5H12NO,1
521,glyb,C5H11NO2,0
522,dmgly,C4H9NO2,0
523,met_L,C5H11NO2S,0
524,bildglcur,C45H50N4O18,-2
525,bilglcur,C39H42N4O12,-2
526,biliverd,C33H32N4O6,-2
527,bilirub, called porphyrin (Wikipedia). Bilirubin is found to be associated with crigler-najjar syndrome type I," which is an inborn error of metabolism."""
528,dolmanp_L,C1140H1868O90P10,-10
529,memgacpail_hs,C45H84N2O27P2FULLRCO2FULLR2CO2,0
530,dolp_L,C1080H1758O40P10,-20
531,m2emgacpail_hs,C51H94N2O32P2FULLRCO2FULLR2CO2,0
532,dolmanp_U,C1085H1780O90P10,-10
533,dolp_U,C1025H1670O40P10,-20
534,3uib,C5H9N2O3,-1
535,3aib_D,C4H9NO2,0
536,but,C4H7O2,-1
537,bvite,C28H48O2,0
538,bz,C7H5O2,-1
539,44mctr,C29H46O,0
540,44mzym,C29H48O,0
541,pmtcrn,C23H45NO4,0
542,hdcecrn,C23H43NO4,0
543,hdd2crn,C23H43NO4,0
544,stcrn,C25H49NO4,0
545,odecrn,C25H47NO4,0
546,arachdcrn,C27H45NO4,0
547,c226crn,C29H45NO4,0
548,c2m26dcoa,C31H46N7O17P3S,-4
549,3h26dm5coa,C31H48N7O18P3S,-4
550,4mzym_int1,C29H46O3,0
551,4mzym_int2,C28H44O,0
552,zym_int2,C27H42O,0
553,zymst,C27H44O,0
554,ca2,Ca,2
555,carveol,C10H16O,0
556,cbl2,C62H92CoN13O14P,0
557,cbl1,C62H88CoN13O14P,-1
558,adocbl,C72H100CoN18O17P,0
559,pppi,HO10P3,-4
560,g6p,C6H11O9P,-2
561,prostg1,C20H31O5,-1
562,prostge1,C20H33O5,-1
563,prostge2,C20H31O5,-1
564,prostgf2,C20H33O5,-1
565,cca_d3,C23H33O4  ,-1
566,cdpdag_hs,C12H17N3O11P2FULLRCO2FULLR2CO2,-2
567,inost,C6H12O6,0
568,pail_hs,C9H16O9PFULLRCO2FULLR2CO2,-1
569,ctp,C9H12N3O14P3,-4
570,dag_hs,C3H6OFULLRCO2FULLR2CO2,0
571,pchol_hs,C8H18NO4PFULLRCO2FULLR2CO2,0
572,pe_hs,C5H12NO4PFULLRCO2FULLR2CO2,0
573,crmp_hs,C18H35NO5PFULLRCO,-2
574,chsterol,C27H46O,0
575,xol25oh,C27H46O2,0
576,cholp,C5H13NO4P,-1
577,cholate,C24H39O5,-1
578,chsterols,C27H45O4S,-1
579,chtn,C24H41N3O16,0
580,itaccoa,C26H35N7O19P3S,-5
581,citmcoa_L,C26H37N7O20P3S,-5
582,creat,C4H9N3O2,0
583,pcreat,C4H8N3O5P,-2
584,cl,Cl,-1
585,for,CH1O2,-1
586,i,I,-1
587,oxa,C2O4,-2
588,clpndcrn,C29H47NO4,0
589,clpnd,C22H33O2,-1
590,pglyc_hs,C6H12O6PFULLRCO2FULLR2CO2,0
591,clpn_hs,C9H16O9P2FULLRCO2FULLR2CO2FULLRCO2FULLR2CO2,-2
592,cmpacna,C20H29N4O16P,-2
593,coke,C17H21NO4,0
594,egme,C10H17NO3,0
595,2dpmhobq,C58H88O4,0
596,q10,C59H90O4,0
597,2dp6mobq,C57H86O3,0
598,2dp6mobq_me,C58H88O3,0
599,2dp6mep,C57H88O2,0
600,Tn_antigen,C8H14NO5X,0
601,core3,C16H27N2O10X,0
602,core4,C24H40N3O15X,0
603,core5,C16H27N2O10X,0
604,core6,C16H27N2O10X,0
605,core7,C16H27N2O10X,0
606,core8,C14H24NO10X,0
607,co,CO,0
608,T4hcinnm,C9H7O3,-1
609,coumarin,C9H6O2,0
610,ntm2amep,C5H13NO3P,-1
611,cmpntm2amep,C14H25N4O10P2,-1
612,cpppg3,C36H40N4O8,-4
