Microbe_ID	M1	M2	M3	M4	M5	M7	M8	M9	M10	M11	M13	M14	M15A	M15B	M16
Achromobacter_xylosoxidans_ERR2221245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Achromobacter_xylosoxidans_ERR2221246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Achromobacter_xylosoxidans_ERR2221247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Achromobacter_xylosoxidans_NBRC_15126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Achromobacter_xylosoxidans_NCTC10807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidaminobacter_hydrogenoformans_DSM_2784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidaminococcus_fermentans_DSM_20731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidaminococcus_intestini_RyC_MR95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidaminococcus_sp_BV3L6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidaminococcus_sp_D21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidaminococcus_sp_HPA0509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidobacterium_ailaaui_PMMR2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidobacterium_capsulatum_ATCC_51196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidovorax temperans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidovorax_caeni_R_24608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter ursingii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_1656_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_3990	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_48055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_53264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_6013113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_6013150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_6014059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_AA_014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_AB0057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_AB1H8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_AB210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_AB307_0294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_AB31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_AB405E4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_AB4A3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_AB5256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_AB5711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_AB900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_ABIsac_ColiR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_ABNIH1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_ABNIH11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_ABNIH14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_ABNIH15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_ABNIH16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_ABNIH18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_ABNIH19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_ABNIH22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_ABNIH23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_ABNIH25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_ABNIH26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_ABNIH3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_ABNIH4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_ABNIH5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_ABNIH6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_AB_1536_8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_AB_1582_8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_AB_1594_8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_AB_1595_8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_AB_1649_8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_AB_1650_8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_AB_1766_8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_AB_2007_09_110_01_7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_AB_2007_16_25_01_7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_AB_2007_16_27_01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_AB_2008_15_34_7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_AB_2008_15_45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_AB_2008_15_52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_AB_2008_15_69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_AB_2008_15_70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_AB_2008_15_71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_AB_2008_23_01_01_7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_AB_2008_23_07_01_7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_AB_2009_04_01_7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_AB_2009_04_02_7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_AB_515_8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_AB_908_12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_AB_908_13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_AB_909_01_7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_AB_909_02_7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_AB_909_05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_AB_TG19617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_AB_TG2018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_AB_TG2022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_AB_TG2023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_AB_TG2026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_AB_TG2028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_AB_TG2030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_AB_TG2031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_AB_TG27335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_AB_TG27339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_AB_TG27343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_AC12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_AC30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_ACICU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_ANC_4097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_ATCC_17978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_ATCC_19606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_AYE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_Ab11111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_Ab33333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_Ab44444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_BZICU_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_Canada_BC1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_Canada_BC_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_IS_116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_IS_123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_IS_143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_IS_235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_IS_251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_IS_58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_LAC_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_MDR_TJ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_MDR_ZJ06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_MSP4_16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_NIPH_1362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_NIPH_146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_NIPH_1669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_NIPH_1734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_NIPH_190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_NIPH_201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_NIPH_2061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_NIPH_24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_NIPH_290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_NIPH_329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_NIPH_335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_NIPH_410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_NIPH_527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_NIPH_528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_NIPH_60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_NIPH_601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_NIPH_615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_NIPH_67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_NIPH_70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_NIPH_80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_Naval_113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_Naval_13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_Naval_17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_Naval_18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_Naval_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_Naval_21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_Naval_57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_Naval_72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_Naval_78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_Naval_81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_Naval_82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_Naval_83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_OIFC0162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_OIFC032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_OIFC035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_OIFC047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_OIFC065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_OIFC074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_OIFC087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_OIFC098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_OIFC099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_OIFC109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_OIFC110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_OIFC111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_OIFC137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_OIFC143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_OIFC180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_OIFC189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_OIFC338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_SDF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_TCDC_AB0715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_TYTH_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_UMB001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_UMB003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_W7282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_WC_348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_WC_692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_WC_A_694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_WC_A_92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_WM99c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_ZWS1122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_ZWS1219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
