MicrobeID	Histidine degradation (histidine -> glutamate)	THF production (histidine -> tetrahydrofolate)	Glutamate production (glutamate -> acetate + pyruvate)	Putrescine_1	Putrescine_2	Putrescine_3	Spermidine/ Spermine production (methionine -> spermidine)	Cadaverine production (lysine -> cadaverine)	Cresol production (tyrosine -> cresol)	Indole production (tryptophan -> indole)	Phenol production (tyrosine -> phenol)	H2S_1	H2S_2	H2S_3	H2S_4	H2S_5
Kocuria_rhizophila_DC2201	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Lactobacillus_plantarum_WCFS1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
Lactobacillus_plantarum_ZJ316	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Lactobacillus_reuteri_DSM_20016	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Leptotrichia_buccalis_C_1013_b	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
Lysinibacillus_sphaericus_C3_41	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
Micrococcus_luteus_NCTC_2665	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Mycobacterium_avium_104	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Parabacteroides_distasonis_ATCC_8503	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Porphyromonas_asaccharolytica_DSM_20707	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Porphyromonas_gingivalis_ATCC_33277	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Porphyromonas_gingivalis_TDC60	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Porphyromonas_gingivalis_W83	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Prevotella_denticola_F0289	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotella_intermedia_17	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0
Prevotella_melaninogenica_ATCC_25845	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Prevotella_ruminicola_23	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Propionibacterium_acidipropionici_ATCC_4875	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Cutibacterium_acnes_KPA171202	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Proteus_mirabilis_HI4320	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
Providencia_stuartii_MRSN_2154	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Pseudomonas_aeruginosa_B136_33	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
Pseudomonas_aeruginosa_DK2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
Pseudomonas_aeruginosa_LESB58	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
Pseudomonas_aeruginosa_M18	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
Pseudomonas_aeruginosa_NCGM2_S1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
Pseudomonas_aeruginosa_PA7	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
Pseudomonas_aeruginosa_PAO1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0
Pseudomonas_aeruginosa_UCBPP_PA14	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
Pseudomonas_putida_F1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Pseudomonas_stutzeri_DSM_4166	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Rhodococcus_equi_103S	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhodococcus_erythropolis_PR4	1	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0
Roseburia_hominis_A2_183	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Ruminococcus_champanellensis_18P13	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
Serratia_liquefaciens_ATCC_27592	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
Shigella_dysenteriae_Sd197	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1
Shigella_flexneri_2002017	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1
Shigella_sonnei_Ss046	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1
Spirosoma_linguale_DSM_74	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Stenotrophomonas_maltophilia_D457	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Stenotrophomonas_maltophilia_K279a	1	0	0	1	1	1	1	0	0	0	0	0	0	1	0	0
Stenotrophomonas_maltophilia_R551_3	1	0	0	1	1	1	1	1	0	0	0	1	0	0	0	0
Streptococcus_mutans_GS_5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Streptococcus_mutans_UA159	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Streptococcus_oralis_Uo5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Streptococcus_parasanguinis_ATCC_15912	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Streptococcus_parasanguinis_FW213	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Streptococcus_parauberis_KCTC_11537	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Streptococcus_pneumoniae_G54	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Streptococcus_pseudopneumoniae_IS7493	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Streptococcus_pyogenes_MGAS9429	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Streptococcus_sanguinis_SK36	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Streptococcus_thermophilus_CNRZ1066	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Streptococcus_thermophilus_JIM_8232	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Streptococcus_thermophilus_LMD_9	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Streptococcus_thermophilus_LMG_18311	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Streptococcus_thermophilus_MN_ZLW_002	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Streptococcus_thermophilus_ND03	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Streptococcus_uberis_0140J	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Tannerella_forsythia_ATCC_43037	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Vibrio_furnissii_NCTC_11218	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
Vibrio_parahaemolyticus_BB22OP	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
Vibrio_parahaemolyticus_RIMD_2210633	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0
Yersinia_enterocolitica_8081	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	1
Yersinia_pseudotuberculosis_IP_31758	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1
Yersinia_pseudotuberculosis_IP_32953	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1
Yersinia_pseudotuberculosis_YPIII	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1
Achromobacter_xylosoxidans_A8	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
Achromobacter_xylosoxidans_ERR2221244	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0
Acidobacterium_capsulatum_ATCC_51196	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_1656_2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_AB307_0294	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_ACICU	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_ATCC_17978	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_AYE	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Acinetobacter_baumannii_MDR_TJ	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_MDR_ZJ06	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_SDF	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Acinetobacter_baumannii_TCDC_AB0715	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_TYTH_1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aliivibrio_salmonicida_LFI1238	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
Bacillus_amyloliquefaciens_FZB42	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Bacillus_amyloliquefaciens_LL3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacillus_amyloliquefaciens_TA208	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacillus_amyloliquefaciens_XH7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacillus_amyloliquefaciens_Y2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Bacillus_cereus_subsp_cytotoxis_NVH_391_98	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Bacillus_megaterium_QM_B1551	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1
Bacillus_megaterium_WSH_002	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Bacillus_subtilis_BSn5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacillus_subtilis_QB928	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacillus_thuringiensis_str_Al_Hakam	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0
Bacillus_thuringiensis_BMB171	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacillus_thuringiensis_Bt407	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Bacillus_thuringiensis_HD_771	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
Bacillus_thuringiensis_HD_789	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Bacillus_thuringiensis_MC28	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Bacillus_thuringiensis_serovar_chinensis_CT_43	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Bacillus_thuringiensis_serovar_finitimus_YBT_020	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Bacillus_thuringiensis_serovar_thuringiensis_str_IS5056	1	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0
Bacteroides_helcogenes_P_36_108	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Bacteroides_salanitronis_DSM_18170	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Bdellovibrio_bacteriovorus_HD100	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0
Bifidobacterium_longum_subsp_longum_F8	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
Brevundimonas_subvibrioides_ATCC_15264	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Butyrivibrio_proteoclasticus_B316	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Campylobacter_fetus_subsp_Fetus_82_40	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Campylobacter_jejuni_subsp_jejuni_81116	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Campylobacter_jejuni_subsp_Doylei_269_97	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Campylobacter_jejuni_subsp_jejuni_IA3902	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Campylobacter_jejuni_subsp_jejuni_ICDCCJ07002	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Campylobacter_jejuni_subsp_jejuni_NCTC_11168_BN148	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Campylobacter_jejuni_subsp_jejuni_PT14	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Campylobacter_jejuni_subsp_jejuni_S3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Chlorobium_phaeobacteroides_BS1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Chlorobium_phaeobacteroides_DSM_266	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Citrobacter_rodentium_ICC168	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1
Clostridium_botulinum_B_str_Eklund_17B	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
Clostridium_botulinum_E3_str_Alaska_E43	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
Clostridioides_difficile_BI1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0
Clostridium_perfringens_str_13	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
Clostridium_saccharolyticum_WM1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Clostridium_saccharoperbutylacetonicum_N1_4_HMT	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
Clostridium_stercorarium_DSM_8532	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
Clostridium_stercorarium_DSM_8532	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
Clostridium_sticklandii_DSM_519	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
Corynebacterium_argentoratense_DSM_44202	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cupriavidus_metallidurans_CH34	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Cyanobacterium_UCYN_A	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Cyanobacterium_UCYN_A	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Desulfitobacterium_hafniense_DCB_2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
Desulfitobacterium_hafniense_Y51	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
Desulfovibrio_desulfuricans_subsp_desulfuricans_str_G20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Elusimicrobium_minutum_Pei191	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Enterobacter_cloacae_subsp_cloacae_ATCC_13047	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1
Enterobacter_cloacae_subsp_dissolvens_SDM	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1
Escherichia_coli_BL21_DE3	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1
Escherichia_coli_BL21_DE3	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1
Escherichia_coli_str_K_12_substr_DH10B	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Escherichia_coli_str_K_12_substr_MDS42	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Escherichia_coli_str_K_12_substr_MG1655	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Escherichia_coli_str_K_12_substr_W3110	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Escherichia_coli_KO11	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
Escherichia_coli_KO11	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
Escherichia_coli_O104_H4_str_2009EL_2050	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
Escherichia_coli_O104_H4_str_2009EL_2071	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
Escherichia_coli_O104_H4_str_2011C_3493	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1
Escherichia_coli_O111_H_str_11128	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1
Escherichia_coli_O127_H6_str_E2348_69	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1
Escherichia_coli_O157_H7_str_EC4115	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	1
Escherichia_coli_O157_H7_str_Sakai	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0
Escherichia_coli_O157_H7_str_TW14359	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0
Escherichia_coli_O26_H11_str_11368	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0
Escherichia_coli_O55_H7_str_CB9615	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1
Escherichia_coli_P12b	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1
Escherichia_coli_S88	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1
Escherichia_coli_SE15	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
Escherichia_coli_SMS_3_5	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	1
Escherichia_coli_UM146	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
Escherichia_coli_UMN026	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	1
Escherichia_coli_UMNK88	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1
Escherichia_coli_W	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1
Escherichia_coli_W	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
Escherichia_coli_Xuzhou21	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	1
Ethanoligenens_harbinense_YUAN_3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Eubacterium_rectale_DSM_17629	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Eubacterium_rectale_M104_1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Faecalibacterium_prausnitzii_SL3_3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Fusobacterium_nucleatum_subsp_vincentii_3_1_36A2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Fusobacterium_nucleatum_subsp_animalis_4_8	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Fusobacterium_nucleatum_subsp_nucleatum_ATCC_25586	1	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0
Fusobacterium_nucleatum_subsp_polymorphum_ATCC_10953	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0
Gemmatimonas_aurantiaca_T_27	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0
Klebsiella_oxytoca_E718	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0
Lactococcus_lactis_subsp_lactis_KF147	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Leuconostoc_mesenteroides_subsp_mesenteroides_ATCC_8293	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Megamonas_hypermegale_ART12_1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
