PubSEED Abreviation	VMH Abbreviation	VMH Description	VMH Formula
Adk	ADK11	adenylate kinase (dUTP)	dutp[c] + amp[c] <=> adp[c] + dudp[c]
Adk	ADK3	adenylate kinase (GTP)	gtp[c] + amp[c] <=> adp[c] + gdp[c]
Adk	ADK5	adenylate kinase (CTP)	ctp[c] + amp[c] <=> adp[c] + cdp[c]
Adk	ADK7	adenylate kinase (dATP)	datp[c] + amp[c] <=> adp[c] + dadp[c]
Adk	ADK8	adenylate kinase (dCTP)	dctp[c] + amp[c] <=> adp[c] + dcdp[c]
Adk	ADK9	adenylate kinase (dGTP)	dgtp[c] + amp[c] <=> adp[c] + dgdp[c]
Adk	UTPATPT	adenylate kinase (UTP)	utp[c] + amp[c] <=> adp[c] + udp[c]
AHSH	AHSERL2	O-acetylhomoserine (thiol)-lyase	achms[c] + h2s[c] <=> ac[c] + h[c] + hcys_L[c] 
AlaB	ALATA_L	L-Alanine Transaminase	akg[c] + ala_L[c] <=> glu_L[c] + pyr[c]
AlaR	ALAR	Alanine Racemase	ala_L[c] <=> ala_D[c]
AlaTrns	ALAPAT4te	Transport of Alanine via Pat4	ala_L[e] <=> ala_L[c] 
Ald	ALAD_L	L-alanine dehydrogenase	ala_L[c] + h2o[c] + nad[c] <=> h[c] + nadh[c] + nh4[c] + pyr[c]
AmPPT	GLUPRT	glutamine phosphoribosyldiphosphate amidotransferase	h2o[c] + prpp[c] + gln_L[c] -> glu_L[c] + ppi[c] + pram[c]
AnsB	ASNS1	Asparagine Synthase (Glutamine-Hydrolysing)	asp_L[c] + atp[c] + gln_L[c] + h2o[c] -> amp[c] + asn_L[c] + glu_L[c] + h[c] + ppi[c] 
ArcD	r1667	Y+Lat2 Utilized Transport	arg_L[e] + orn[c] <=> arg_L[c] + orn[e] 
ArgA	ACGS	N-acetylglutamate synthase	glu_L[c] + accoa[c] -> h[c] + coa[c] + acglu[c]
ArgB	ACGK	acetylglutamate kinase	atp[c] + acglu[c] -> adp[c] + acg5p[c]
ArgC	AGPR	N-acetyl-g-glutamyl-phosphate reductase	acg5sa[c] + nadp[c] + pi[c] <=> acg5p[c] + h[c] + nadph[c]
ArgD	ACOTA	Acetylornithine transaminase	acorn[c] + akg[c] <=> acg5sa[c] + glu_L[c]
ArgE	ACODAr	Acetylornithine deacetylase, reversible	acorn[c] + h2o[c] <=> ac[c] + orn[c]
ArgF	OCBT	ornithine carbamoyltransferase	orn[c] + cbp[c] <=> h[c] + pi[c] + citr_L[c]
ArgG	ARGSSr	argininosuccinate synthase, reversible	atp[c] + asp_L[c] + citr_L[c] <=> h[c] + amp[c] + ppi[c] + argsuc[c]
ArgH	ARGSL	argininosuccinate lyase	argsuc[c] <=> fum[c] + arg_L[c]
ArgJ	ORNTAC	Ornithine transacetylase	acorn[c] + glu_L[c] <=> acglu[c] + orn[c]
AroA	PSCVT	3-phosphoshikimate 1-carboxyvinyltransferase	pep[c] + skm5p[c] <=> 3psme[c] + pi[c] 
AroC	CHORS	Chorismate synthase	3psme[c] <=> chor[c] + pi[c] 
AroH	CHORM	Chorismate mutase	chor[c] <=> pphn[c]
AroJ	LARGNAT	L-arogenate:2-oxoglutarate aminotransferase	asp_L[c] + pphn[c] <=> Largn[c] + oaa[c]
AroJ	PHETA1	Phenylalanine Transaminase	glu_L[c] + phpyr[c] <=> akg[c] + phe_L[c]
AroJ	TYRTA	Tyrosine Transaminase	34hpp[c] + glu_L[c] <=> akg[c] + tyr_L[c]  
AroKL	SHKK	Shikimate kinase	atp[c] + skm[c] <=> adp[c] + h[c] + skm5p[c] 
AroP	PHEt2r	L-phenylalanine reversible transport via proton symport	h[e] + phe_L[e] <=> h[c] + phe_L[c] 
AroP	TRPt2r	L-tryptophan reversible transport via proton symport	h[e] + trp_L[e] <=> h[c] + trp_L[c] 
AroP	TYRt2r	L-tyrosine reversible transport via proton symport	h[e] + tyr_L[e] <=> h[c] + tyr_L[c] 
ArtMQP	ARGabc	L-arginine transport via ABC system	arg_L[e] + atp[c] + h2o[c] -> adp[c] + arg_L[c] + h[c] + pi[c]
Asd	ASAD	Aspartate-semialdehyde dehydrogenase	aspsa[c] + nadp[c] + pi[c] <=> 4pasp[c] + h[c] + nadph[c]
AsdA	ASP4DC	L-aspartate 4-carboxy-lyase (L-alanine-forming)	asp_L[c] + h[c] <=> co2[c] + ala_L[c]
AsnA	ASNS2	Asparagine synthetase	asp_L[c] + atp[c] + nh4[c] <=> amp[c] + asn_L[c] + h[c] + ppi[c] 
AspA	ASPK	Aspartate kinase	asp_L[c] + atp[c] <=> 4pasp[c] + adp[c] 
AspC	ASPTA	Aspartate Transaminase	glu_L[c] + oaa[c] <=> akg[c] + asp_L[c]  
ASPDC	ASP1DC	Aspartate 1-Decarboxylase	asp_L[c] + h[c] -> ala_B[c] + co2[c]
ASPOX	ASPO6	L-aspartate oxidase	asp_L[c] + o2[c] <=> h[c] + h2o2[c] + iasp[c]
AvtA	VPAMTr	Valine-pyruvate aminotransferase, reversible	3mob[c] + ala_L[c] <=> pyr[c] + val_L[c]  
AzlCD	ILEtec	Transport of L-Isoleucine  via Diffusion	ile_L[e] <=> ile_L[c] 
AzlCD	LEUtec	Transport of L-Leucine  via Diffusion	leu_L[e] <=> leu_L[c] 
AzlCD	VALtec	L-Valine Transport via Diffusion (Extracellular to Cytosol)	val_L[e] <=> val_L[c] 
AzorDMT	5ASAt2r	5-Aminosalicylic Acid (Mesalamine) transport via proton symport	5asa[e] + h[e] <=> 5asa[c] + h[c]
AzorDMT	ABZ_ALA_Bt2r	4-Aminobenzoyl-Beta-Alanine transport via proton symport	abz_ala_b[e] + h[e] <=> abz_ala_b[c] + h[c]
AzorDMT	BZDt2r	Balsalazide transport via proton symport	bzd[e] + h[e] <=> bzd[c] + h[c]
AzorDMT	NEOPRONTt2r	Neoprontosil transport via proton symport	neopront[e] + h[e] <=> neopront[c] + h[c]
AzorDMT	OLSAt2r	Olsalazine transport via proton symport	olsa[e] + h[e] <=> olsa[c] + h[c]
AzorDMT	PRONTt2r	Prontosil transport via proton symport	pront[e] + h[e] <=> pront[c] + h[c]
AzorDMT	SANILAMIDEt2r	Sulfanilamide transport via proton symport	sanilamide[e] + h[e] <=> sanilamide[c] + h[c]
AzorDMT	SSZt2r	Sulfasalazine transport via proton symport	ssz[e] + h[e] <=> ssz[c] + h[c]
AzorDMT	SULFPt2r	Sulfapyridine transport via proton symport	sulfp[e] + h[e] <=> sulfp[c] + h[c]
AzorDMT	TABt2r	1 2 4-Triaminobenzene transport via proton symport	tab[e] + h[e] <=> tab[c] + h[c]
BaiA	BAIA1	NAD(P)-dependent 3-alpha-hydroxysteryl-CoA dehydrogenase, cholate 7-alpha/beta dehydroxylation pathway	cholcoa[c] + nadp[c] <=> 3dhcacoa[c] + h[c] + nadph[c]
BaiA	BAIA2	NAD(P)-dependent 3-alpha-hydroxysteryl-CoA dehydrogenase, chenodeoxycholate 7-alpha/beta dehydroxylation pathway	dcholcoa[c] + nadp[c] <=> 3dhcdcacoa[c] + h[c] + nadph[c]
BaiA	BAIA3	NAD(P)-dependent 3-alpha-hydroxysteryl-CoA dehydrogenase, ursodeoxycholate 7-alpha/beta dehydroxylation pathway	udoholcoa[c] + nadp[c] <=> 3dhudcacoa[c] + h[c] + nadph[c]
BaiB	BICoAL1	Cholate:CoA ligase (AMP-forming) (EC:6.2.1.7) cytoplasmic	atp[c] + coa[c] + cholate[c] -> amp[c] + ppi[c] + cholcoa[c] 
BaiB	BICoAL2	Chenodeoxycholate:CoA ligase (AMP-forming) (EC:6.2.1.7) cytoplasmic	atp[c] + coa[c] + C02528[c] -> amp[c] + ppi[c] + dcholcoa[c] 
BaiB	BICoAL3	Ursodeoxycholate:CoA ligase (AMP-forming) (EC:6.2.1.7) cytoplasmic	atp[c] + coa[c] + HC02194[c] -> amp[c] + ppi[c] + udoholcoa[c] 
BaiCDH	BAICDH1	NAD(H)-dependent delta4-cholenoyl-CoA oxidoreductase, cholate 7-alpha/beta dehydroxylation pathway	3dhcacoa[c] + nad[c] <=> 3dh4cacoa[c] + h[c] + nadh[c]
BaiCDH	BAICDH2	NAD(H)-dependent delta4-cholenoyl-CoA oxidoreductase, chenodeoxycholate 7-alpha/beta dehydroxylation pathway	3dhudcacoa[c] + nad[c] <=> 3dh4cdcacoa[c] + h[c] + nadh[c]
BaiCDH	BAICDH3	NAD(H)-dependent delta4-cholenoyl-CoA oxidoreductase, ursodeoxycholate 7-alpha/beta dehydroxylation pathway	3dhcdcacoa[c] + nad[c] <=> 3dh4udcacoa[c] + h[c] + nadh[c]
BaiCDH	BAICDH4	NADP(H)-dependent delta4-cholenoyl-CoA oxidoreductase, cholate 7-alpha/beta dehydroxylation pathway	3dhcacoa[c] + nadp[c] <=> 3dh4cacoa[c] + h[c] + nadph[c]
BaiCDH	BAICDH5	NADP(H)-dependent delta4-cholenoyl-CoA oxidoreductase, chenodeoxycholate 7-alpha/beta dehydroxylation pathway	3dhudcacoa[c] + nadp[c] <=> 3dh4cdcacoa[c] + h[c] + nadph[c]
BaiCDH	BAICDH6	NADP(H)-dependent delta4-cholenoyl-CoA oxidoreductase, ursodeoxycholate 7-alpha/beta dehydroxylation pathway	3dhcdcacoa[c] + nadp[c] <=> 3dh4udcacoa[c] + h[c] + nadph[c]
BaiEI	BAIEI1	Bile acid 7-alpha dehydratase (EC 4.2.1.106), cholate 7-alpha/beta dehydroxylation pathway	3dh4chol[c] -> h2o[c] + 3dh46dchol[c]
BaiEI	BAIEI2	Bile acid 7-alpha dehydratase (EC 4.2.1.106), chenodeoxycholate 7-alpha/beta dehydroxylation pathway	3dh4cdchol[c] -> h2o[c] + 3dh46lchol[c]
BaiEI	BAIEI3	Bile acid 7-alpha dehydratase (EC 4.2.1.106), ursodeoxycholate 7-alpha/beta dehydroxylation pathway	3dh4udchol[c] -> h2o[c] + 3dh46lchol[c]
BaiG	BIACt1	Bile acid transport, cholate	cholate[e] + h[e] <=> cholate[c] + h[c]
BaiG	BIACt2	Bile acid transport, chenodeoxycholate	C02528[e] + h[e] <=> C02528[c] + h[c]
BaiG	BIACt3	Bile acid transport, ursodeoxycholate	HC02194[e] + h[e] <=> HC02194[c] + h[c]
BaiG	BIACt4	Bile acid transport, 7-Dehydrocholate	7ocholate[e] + h[e] <=> 7ocholate[c] + h[c]
BhmT	BHMT	Betaine-Homocysteine S-Methyltransferase	glyb[c] + hcys_L[c] -> dmgly[c] + met_L[c]
BioA	AMAOTr	Adenosylmethionine-8-amino-7-oxononanoate transaminase	8aonn[c] + amet[c] <=> amob[c] + dann[c]
BioB	BTS4	Biotin synthase	amet[c] + dtbt[c] + s[c] <=> btn[c] + dad_5[c] + h[c] + met_L[c]
BioC	MALCOAMT	Malonyl-CoA methyltransferase BioC	amet[c] + malcoa[c] <=> ahcys[c] + malcoam[c]
BioD	DBTS	Dethiobiotin synthase	atp[c] + co2[c] + dann[c] <=> adp[c] + dtbt[c] + 3.0 h[c] + pi[c]
BioF	AOXSr	8-amino-7-oxononanoate synthase	ala_L[c] + h[c] + pmcoa[c] <=> 8aonn[c] + co2[c] + coa[c]
BioFs	AOXSr2	8-amino-7-oxononanoate synthase (pimeloyl-ACP)	ala_L[c] + h[c] + pmACP[c] <=> 8aonn[c] + ACP[c] + co2[c]
BioGH	PMACPME	Cleavage of ester from pimeloyl-ACP methyl ester (BioH)	h2o[c] + pmACPm[c] <=> h[c] + meoh[c] + pmACP[c]
BioW	CHCOAL	6-carboxyhexanoate-CoA ligase	atp[c] + coa[c] + pime[c] <=> amp[c] + pmcoa[c] + ppi[c]
BioYNM	BTNabc	Biotin transport via ABC system	atp[c] + btn[e] + h2o[c] -> adp[c] + btn[c] + h[c] + pi[c] 
BrnQM	ILEt4	Transport of L-Isoleucine  via Sodium Symport	ile_L[e] + na1[e] -> ile_L[c] + na1[c] 
BrnQM	LEUt4	Transport of L-Leucine via Sodium Symport	leu_L[e] + na1[e] -> leu_L[c] + na1[c] 
BrnQM	VALt4	L-Valine Transport in via Sodium Symport	na1[e] + val_L[e] -> na1[c] + val_L[c] 
BSH	GCDCHOLBHSe	Glycochenodeoxycholate hydrolysis by bile salt hydrolase (EC 3.5.1.24)	dgchol[e] + h2o[e] -> C02528[e] + gly[e] + h[e]
BSH	GCHOLBHSe	Glycocholate hydrolysis by bile salt hydrolase (EC 3.5.1.24)	gchola[e] + h2o[e] -> cholate[e] + gly[e] + h[e]
BSH	TCDCHOLBHSe	Taurochenodeoxycholate hydrolysis by bile salt hydrolase (EC 3.5.1.24, EC 3.5.1.74)	tdchola[e] + h2o[e] -> C02528[e] + taur[e] + h[e]
BSH	TCHOLBHSe	Taurocholate hydrolysis by bile salt hydrolase (EC 3.5.1.24)	tchola[e] + h2o[e] -> cholate[e] + taur[e] + h[e]
BSH	TLCABSHe	Taurolithocholate hydrolysis by bile salt hydrolase (EC 3.5.1.24)	HC02192[e] + h2o[e] -> HC02191[e] + taur[e]
BSH	TDCABSHe	Taurodeoxycholate hydrolysis by bile salt hydrolase (EC 3.5.1.24)	tdechola[e] + h2o[e] -> dchac[e] + taur[e]
BSH	GDCABSHe	Glycodeoxycholate hydrolysis by bile salt hydrolase (EC 3.5.1.24)	M01989[e] + h2o[e] -> dchac[e] + gly[e] + h[e]
BSH	GLCABSHe	Glycolithocholate hydrolysis by bile salt hydrolase (EC 3.5.1.24)	HC02193[e] + h2o[e] -> HC02191[e] + gly[e]
BtuDFC	ADOCBLabc	Adenosylcobalamin transport via ABC system	adocbl[e] + atp[c] + h2o[c] -> adocbl[c] + adp[c] + h[c] + pi[c] 
cALP	ALKP_R788	Alkaline Phosphatase (Fostamatinib)	r788[c] + o2[c] -> r406[c] + h[c] + pi[c] + co2[c]
cAzNAD	BZD_AR_NAD	Balsalazide Microbiota azo-reduction (NAD)	bzd[c] + 2 nadh[c] + 2 h[c] <=> abz_ala_b[c] + 5asa[c] + 2 nad[c]
cAzNAD	NEOPRONT_AR_NAD	Neoprontosil Microbiota azo-reduction (NAD)	neopront[c] + 5 nadh[c] + 5 h[c] + 2 nh4[c] <=> 3 sanilamide[c] + 5 nad[c] + 4 h2o[c]
cAzNAD	OLSA_AR_NAD	Olsalazine Microbiota azo-reduction (NAD)	olsa[c] + 2 nadh[c] + 2 h[c] <=>  2 5asa[c] + 2 nad[c]
cAzNAD	PRONT_AR_NAD	Prontosil Microbiota azo-reduction (NAD)	pront[c] + 2 nadh[c] + 2 h[c] <=> tab[c] + sanilamide[c] + 2 nad[c]
cAzNAD	SSZ_AR_NAD	Sulfasalazine Microbiota azo-reduction (NAD)	ssz[c] + 2 nadh[c] + 3 h[c] <=> 5asa[c] + sulfp[c] + 2 nad[c]
cAzNADP	BZD_AR_NADP	Balsalazide Microbiota azo-reduction (NADP)	bzd[c] + 2 nadph[c] + 2 h[c] <=> abz_ala_b[c] + 5asa[c] + 2 nadp[c]
cAzNADP	NEOPRONT_AR_NADP	Neoprontosil Microbiota azo-reduction (NADP)	neopront[c] + 5 nadph[c] + 5 h[c] + 2 nh4[c] <=> 3 sanilamide[c] + 5 nadp[c] + 4 h2o[c]
cAzNADP	OLSA_AR_NADP	Olsalazine Microbiota azo-reduction (NADP)	olsa[c] + 2 nadph[c] + 2 h[c] <=>  2 5asa[c] + 2 nadp[c]
cAzNADP	PRONT_AR_NADP	Prontosil Microbiota azo-reduction (NADP)	pront[c] + 2 nadph[c] + 2 h[c] <=> tab[c] + sanilamide[c] + 2 nadp[c]
cAzNADP	SSZ_AR_NADP	Sulfasalazine Microbiota azo-reduction (NADP)	ssz[c] + 2 nadph[c] + 3 h[c] <=> 5asa[c] + sulfp[c] + 2 nadp[c]
cBGal	GALASE_LACTL	B-galactosidase (Lactulose)	h2o[c] + lactl[c] -> gal[c] + fru[c]
CbiA	CYRDAS	Cob(II)yrinate a,c-diamide synthase (glutamine-hydrolysing)	2.0 atp[c] + cobya[c] + 2.0 gln_L[c] + h2o[c] <=> 2.0 adp[c] + co2dam[c] + 2.0 glu_L[c] + h[c] + ppi[c]
CbiA	R05224	Hydrogenobyrinate <=> Hydrogenobyrinate a,c diamide	2.0 atp[c] + 2.0 gln_L[c] + h2o[c] + hgbyr[c] <=> 2.0 adp[c] + 2.0 glu_L[c] + h[c] + hgbam[c] + ppi[c]
CbiB	ADCPS2	Adenosylcobinamide-phosphate synthase	adcobhex[c] + applp[c] + atp[c] <=> adocbip[c] + adp[c] + h[c] + pi[c]
CbiC	CPC8MM	Precorrin-8X methylmutase	copre8[c] <=> cobya[c]
CbiC	PC8XM	Precorrin-8X methylmutase	h[c] + pre8[c] <=> hgbyr[c]
CbiD	CPC5MT2	Precorrin-5 C1-methyltransferase, step 2	amet[c] + copre5b[c] -> ahcys[c] + copre6[c]
CbiE	CPC6MT	Precorrin-6Y C5,15-methyltransferase (decarboxylating)	2.0 amet[c] + codhpre6[c] <=> 2.0 ahcys[c] + co2[c] + copre8[c] + h[c]
CbiF	CPC4MT	Precorrin-4 C11-methyltransferase	amet[c] + copre4[c] <=> ahcys[c] + copre5[c] + h[c]
CbiG	CPC5MT1	Precorrin-5 C1-methyltransferase, step 1	copre5[c] + h2o[c] -> acald[c] + copre5b[c] + h[c]
CbiH	CPC3MT	Precorrin-3B C17-methyltransferase	amet[c] + copre3[c] <=> ahcys[c] + copre4[c]
CbiH	PC17M	Precorrin-3B C17-methyltransferase	amet[c] + pre3b[c] <=> ahcys[c] + 3.0 h[c] + pre4[c]
CbiKX	SHCHCC2	Sirohydrochlorin cobaltochelatase, irreversible	cobalt2[c] + scl[c] <=> copre2[c] + h[c]
CbiL	CPC2MT	Precorrin-2 C20-methyltransferase	amet[c] + copre2[c] <=> ahcys[c] + copre3[c] + h[c]
CbiP	ADCYRS	Adenosylcobyric acid synthase (glutamine-hydrolysing)	adcobdam[c] + 4.0 atp[c] + 4.0 gln_L[c] + 4.0 h2o[c] <=> adcobhex[c] + 4.0 adp[c] + 4.0 glu_L[c] + 4.0 h[c] + 4.0 pi[c]
CbiT	PC6YM	Precorrin-6Y C5,15-methyltransferase (decarboxylating)	2.0 amet[c] + pre6b[c] <=> 2.0 ahcys[c] + co2[c] + 2.0 h[c] + pre8[c]
CbrTUV	ADOCBLabc	Adenosylcobalamin transport via ABC system	adocbl[e] + atp[c] + h2o[c] -> adocbl[c] + adp[c] + h[c] + pi[c] 
cBRV	PYNP_BRV	Pyrimidine-Nucleoside Phosphorylase (Brivudine)	2 pi[c] + 2 brv[c] + o2[c] -> 2 r1p[c] + 2 bvu[c] 
cBRV	PYNP_SRV	Pyrimidine-Nucleoside Phosphorylase (Sorivudine)	pi[c] + srv[c] -> r1p[c] + bvu[c] 
cCda	DFDCYTDD	Cytidine Deaminase (Gemcitabine)	dfdcytd[c] + h[c] + h2o[c] -> nh4[c] + dfduri[c]
cCgr	DIHYDRO_DIGITOXINc	Digitoxin reduction	digitoxin[c] + nadh[c] + h[c] <=> dihydro_digitoxin[c] + nad[c]
cCgr	DIHYDRO_DIGOXINc	Digitoxin reduction	digoxin[c] + nadh[c] + 2 h[c] <=> dihydro_digoxin[c] + nad[c]
Cco	CCOuq	Cytochrome Cbb3 oxidase (Ubiquinol)	4.0 h[c] + 0.5 o2[c] + q8h2[c] -> 4.0 h[e] + h2o[c] + q8[c]
Cco	CYOmq	Cytochrome oxidase, proton pump (Menaquinol)	4.0 h[c] + mql8[c] + 0.5 o2[c] -> 4.0 h[e] + h2o[c] + mqn8[c]
cCodA	FCSND	Cytosine Deaminase (5-Fluorocytosine)	fcsn[c] + h[c] + h2o[c] -> nh4[c] + 5fura[c]
CdaABC	DFDCYTDabc	Gemcitabine (2′,2′-difluorodeoxycytidine) Purine nucleoside ABC transporter	dfdcytd[e] + atp[c] + h2o[c] -> adp[c] + dfdcytd[c] + h[c] + pi[c]
CdaABC	DFDURIte	2,2-Difluorodeoxyuridine export	dfduri[c] -> dfduri[e]
cDpdNAD	5FURADH	5, 6-Dihydrouracil:NAD+ Oxidoreductase (5-fluorouracil)	5fura[c] + nadh[c] + h[c] -> nad[c] + dh5fura[c]
cDpdNADP	56DFURADH	Dihydrouracil Dehydrogenase (NADP) (5,6-dihydro-fluorouracil)	dh5fura[c] + nadp[c] <=> h[c] + nadph[c] + 5fura[c]
cHpd	4HPHACDC	4-hydroxyphenylacetate decarboxylase	4hphac[c] -> co2[c] + pcresol[c]
CimA	CITRAMALS	Citramalate synthase	accoa[c] + h2o[c] + pyr[c] -> 2mmal[c] + coa[c] + h[c]
cNAT	AC5ASAc	5-aminosalicylic acid acetylation	5asa[c] + accoa[c] <=> ac5asa[c] + coa[c]
cNAT	ISNZDAc	5-aminosalicylic acid acetylation	isnzd[c] + accoa[c] <=> acisnzd[c] + coa[c]
cNit	CAP_NR	Chloramphenicol Microbiota nitroreduction	chlphncl[c] + nadph[c] + h[c] <=> nchlphncl[c] + nadp[c] + h2o[c]
cNit	CZP_NR	Clonazepam Microbiota nitroreduction	czp[c] + 3 nadph[c] + 3 h[c] <=> 7a_czp[c] + 3 nadp[c] + 2 h2o[c]
cNit	NZP_NR	Nitrazepam Microbiota nitroreduction	nzp[c] + 3 nadph[c] + 3 h[c] <=> anzp[c] + 3 nadp[c] + 2 h2o[c]
CnoABCD	Coabc	Cobalt transport via ABC system	atp[c] + cobalt2[e] + h2o[c] -> adp[c] + cobalt2[c] + h[c] + pi[c] 
CobAT	CYRDAAT	Cob(I)yrinic acid a,c-diamide adenosyltransferase	atp[c] + co1dam[c] + h[c] <=> adcobdam[c] + pppi[c]
CobD	THRPD	Threonine-phosphate decarboxylase	h[c] + thrp[c] -> applp[c] + co2[c] 
CobF	R05219	Precorrin 5 <=> Precorrin 6X	amet[c] + h2o[c] + pre5[c] -> ac[c] + ahcys[c] + h[c] + pre6a[c]
CobG	PRE3A	Cobalamin biosynthesis protein CobG	h[c] + 0.5 o2[c] + pre3a[c] <=> pre3b[c]
CobI	PC20M	Precorrin-2 C20-methyltransferase	amet[c] + dscl[c] <=> ahcys[c] + h[c] + pre3a[c]
CobM	PC11M	Precorrin-4 C11-methyltransferase	amet[c] + pre4[c] <=> ahcys[c] + h[c] + pre5[c]
CobNST	COCHL	Cobaltochelatase	atp[c] + cobalt2[c] + h2o[c] + hgbam[c] <=> adp[c] + co2dam[c] + 3.0 h[c] + pi[c]
CobS	ADOCBLS	Adenosylcobalamin 5-phosphate synthase	agdpcbi[c] + rdmbzi[c] <=> adocbl[c] + gmp[c] + h[c]
CobU	ACBIPGT	Adenosyl cobinamide phosphate guanyltransferase	adocbip[c] + gtp[c] + h[c] <=> agdpcbi[c] + ppi[c]
CobX	CYRDAR	Cob(II)yrinic acid a,c-diamide reductase	2.0 co2dam[c] + nadh[c] <=> 2.0 co1dam[c] + h[c] + nad[c]
CodB	5FURAt	5-Fluorouracil Transport via Faciliated Diffusion	5fura[e] <=> 5fura[c]
CodB	FCSNt	5-fluorocytosine Transport via Faciliated Diffusion	fcsn[e] <=> fcsn[c]
CodDMT	5FURAt	5-Fluorouracil Transport via Faciliated Diffusion	5fura[e] <=> 5fura[c]
CodDMT	FCSNt	5-fluorocytosine Transport via Faciliated Diffusion	fcsn[e] <=> fcsn[c]
CodP	5FURAt	5-Fluorouracil Transport via Faciliated Diffusion	5fura[e] <=> 5fura[c]
CodP	FCSNt	5-fluorocytosine Transport via Faciliated Diffusion	fcsn[e] <=> fcsn[c]
Cta	CCOuq	Cytochrome Cbb3 oxidase (Ubiquinol)	4.0 h[c] + 0.5 o2[c] + q8h2[c] -> 4.0 h[e] + h2o[c] + q8[c]
Cta	CYOmq	Cytochrome oxidase, proton pump (Menaquinol)	4.0 h[c] + mql8[c] + 0.5 o2[c] -> 4.0 h[e] + h2o[c] + mqn8[c]
CTBL	CYSTL	Cystathionine b-lyase	cyst_L[c] + h2o[c] <=> hcys_L[c] + nh4[c] + pyr[c]
CTGS	METB1	O-Acetyl-L-homoserine succinate-lyase (adding cysteine)	achms[c] + cys_L[c] <=> ac[c] + cyst_L[c] + h[c]
cUidA	1HIBUP_S_GLCAASE	1-hydroxy S-ibuprofen beta-glucuronidase	1hibupglu_S[c] + h2o[c] -> 1hibup_S[c] + glcur[c] + h[c]
cUidA	1HMDGLUC_GLCAASE	1-OH-midazolam-glucuronide beta-glucuronidase	1hmdgluc[c] + h2o[c] -> 1ohmdz[c] + glcur[c]
cUidA	2HATVACIDGLUC_GLCAASE	2-hydroxy-atorvastatin-acyl-glucuronide beta-glucuronidase	2hatvacidgluc[c] + h2o[c] -> 2hatvacid[c] + glcur[c] + h[c]
cUidA	2HATVLACGLUC_GLCAASE	2-hydroxy-atorvastatin-lactone-glucuronide beta-glucuronidase	2hatvlacgluc[c] + h2o[c] -> 2hatvlac[c] + glcur[c]
cUidA	2HIBUP_S_GLCAASE	2-hydroxy-S-ibuprofen beta-glucuronidase	2hibupglu_S[c] + h2o[c] -> 2hibup_S[c] + glcur[c] + h[c]
cUidA	2OH_CBZ_GLC_GLCAASE	2-Hydroxy Carbamazepine Glucuronide beta-glucuronidase	2oh_cbz_glc[c] + h2o[c] -> 2oh_cbz[c] + glcur[c]
cUidA	2OH_MTZ_GLC_GLCAASE	2-Hydroxymetronidazole Glucuronide beta-glucuronidase	2oh_mtz_glc[c] + h2o[c] -> 2oh_mtz[c] + glcur[c]
cUidA	3HIBUP_S_GLCAASE	3-hydroxy S-ibuprofen beta-glucuronidase	3hibupglu_S[c] + h2o[c] -> 3hibup_S[c] + glcur[c] + h[c]
