GeneID	GeneName	log2FC	PValue	
HGNC:11027	SLC4A1	-4.337365457	0.002115408	
HGNC:1440	CALCR	-2.143159392	0.101871776	
HGNC:4837	HCCS	0.102599359	0.770569299	
HGNC:3086	DVL2	0.086255406	0.775037562	
HGNC:14368	PRSS22	3.854012887	0.002871692	
HGNC:9962	UPF1	0.584820153	0.073587441	
HGNC:15687	SKAP2	-2.755652988	0.000420448	
HGNC:10991	SLC25A5	0.487514183	0.080547471	
HGNC:26076	MCUB	-0.568941687	0.416593935	
HGNC:5101	HOXA11	3.757722427	0.05290611	
HGNC:9197	POLR2J	1.597425139	0.003467205	
HGNC:16718	DHX33	0.584879306	0.128752722	
HGNC:7013	MEOX1	-5.960292311	3.77E-05	
HGNC:22207	THSD7A	-3.883852424	6.49E-05	
HGNC:6600	LIG3	1.50546046	0.005141002	
HGNC:26151	RPAP3	0.535947693	0.109990888	
HGNC:10522	ACSM3	-0.90311112	0.289103061	
HGNC:24661	REXO5	0.640294458	0.157222987	
HGNC:28050	CIAPIN1	0.130360869	0.646766314	
HGNC:30627	SPPL2B	1.00198352	0.011580991	
HGNC:25666	FAM214B	-0.958388805	0.043266067	
HGNC:19356	COPZ2	-2.5017488	0.001019145	
HGNC:9392	PRKAR2B	-4.120750763	0.000384136	
HGNC:7370	MSL3	-0.816529834	0.015243987	
HGNC:2348	CREBBP	-0.25057172	0.406873313	
HGNC:16831	TSPOAP1	1.232783241	0.133948179	
HGNC:7218	MPO	-1.622458834	0.102294888	
HGNC:9204	PON1	2.157300002	0.087733264	
HGNC:1317	GCFC2	-0.258809544	0.42586175	
HGNC:25770	WDR54	1.869810659	0.003131408	
HGNC:2366	CROT	0.099532522	0.880731137	
 	ABCB4	0.670468459	0.477453678	
HGNC:18541	KMT2E	-0.35904204	0.478542145	
HGNC:23082	RHBDD2	1.699263195	0.000364514	
HGNC:11203	SOX8	-1.827178361	0.055467106	
HGNC:17853	IBTK	-0.049041809	0.888574272	
HGNC:12986	ZNF195	1.136957435	0.012816025	
HGNC:23386	MYCBP2	-2.965463744	5.50E-05	
HGNC:13599	FBXL3	-0.900541001	0.08009505	
HGNC:6148	ITGAL	0.033481793	0.949460737	
HGNC:8810	PDK2	-1.562284502	0.046470549	
HGNC:6139	ITGA3	0.89208853	0.186032245	
HGNC:12869	ZFX	-0.344876313	0.430726223	
HGNC:6501	LAMP2	0.178218231	0.553961072	
HGNC:6138	ITGA2B	0.230860174	0.711201938	
HGNC:16009	ASB4	-2.051340525	0.046807523	
HGNC:29644	GDE1	0.28817657	0.451351757	
HGNC:26098	REX1BD	1.216437731	0.02676417	
HGNC:2364	CRLF1	-1.255795421	0.060379366	
HGNC:16387	OSBPL7	0.970681166	0.076846484	
HGNC:24529	TMEM98	0.275851989	0.669088298	
HGNC:17948	YBX2	-0.348350804	0.690292733	
HGNC:6450	KRT33A	3.654372079	0.036074981	
HGNC:6853	MAP3K14	-1.097495035	0.016489384	
 	ABCC8	2.696375165	0.046409836	
HGNC:31092	TMEM132A	4.332831581	6.00E-05	
HGNC:563	AP2B1	0.374642581	0.319159683	
HGNC:11517	TAC1	-0.23332488	0.875628524	
HGNC:13056	ZNF263	0.669659717	0.026249016	
HGNC:10647	CX3CL1	-2.106724135	0.030309338	
HGNC:26125	SPATA20	0.87533267	0.152934716	
HGNC:1394	CACNA1G	-1.887556833	0.017633141	
HGNC:18152	TNFRSF12A	2.571589383	0.029019204	
HGNC:2919	DLX6	-0.0447507	0.970607982	
HGNC:6861	MAP3K9	1.57918427	0.114315276	
HGNC:9839	RALA	-0.056796847	0.849513827	
HGNC:21649	BAIAP2L1	2.511659897	0.001007509	
HGNC:22224	KDM7A	-1.737394173	0.001728933	
HGNC:3490	ETV1	-1.79781199	0.009720226	
HGNC:21869	AGK	0.191283073	0.505484964	
HGNC:410	ALDH3B1	-0.5001358	0.365753103	
HGNC:26067	TTC22	2.501079851	0.072767942	
HGNC:13411	PHTF2	0.573298265	0.246120431	
HGNC:10625	CCL26	-1.949659488	0.019332373	
HGNC:16460	FARP2	-0.312056732	0.327317075	
HGNC:12597	USH1C	1.777657005	0.184232891	
HGNC:21705	GGCT	1.902750983	0.000689063	
HGNC:17364	DBF4	1.328417233	0.01395577	
HGNC:11608	TBXA2R	-0.184687139	0.761556427	
HGNC:5456	IFRD1	-0.773918454	0.182178296	
HGNC:2260	COX10	-0.243250829	0.464771456	
HGNC:4661	GTF2IRD1	1.929418794	2.76E-05	
HGNC:25459	PAF1	0.91340666	0.003357747	
HGNC:12713	VPS41	-0.062595964	0.896644618	
HGNC:29096	ARHGAP44	-0.133858443	0.775922604	
HGNC:14198	ELAC2	-0.094443418	0.732232972	
HGNC:21695	SCIN	1.261254026	0.25017153	
HGNC:717	ARSD	0.937576965	0.148699415	
HGNC:24887	PNPLA4	0.867975601	0.135478416	
HGNC:7571	MYH13	-0.450308415	0.466642876	
HGNC:24041	ADIPOR2	-0.158632245	0.747832122	
HGNC:15483	CDKL3	-0.047479314	0.922659351	
HGNC:23061	UPP2	-0.586567439	0.482916744	
HGNC:9485	PRSS21	0.076844111	0.955165306	
HGNC:13538	MARK4	1.518867562	0.001635641	
HGNC:9454	PROM1	1.182516499	0.576211294	
HGNC:25171	CCDC124	1.606796362	0.008505119	
HGNC:28834	CEACAM21	-1.821566806	0.042819636	
HGNC:8574	PAFAH1B1	-0.952225082	0.007260892	
HGNC:7873	NOS2	-1.009096191	0.262267857	
HGNC:2953	DNAH9	-3.363342414	0.009450415	
HGNC:28960	KIAA0100	-0.331752928	0.418470344	
HGNC:10917	SLC13A2	-2.877262212	0.156860486	
HGNC:4169	GAS7	-4.254127294	4.46E-05	
HGNC:23069	TRAPPC6A	2.213311336	1.62E-05	
HGNC:6906	MATK	1.248138082	0.269421228	
HGNC:1819	CEACAM7	3.547243512	0.022095227	
HGNC:1699	CD79B	-1.853153634	0.020248156	
HGNC:10591	SCN4A	-6.603002663	1.02E-06	
HGNC:18441	ST7L	-0.044285944	0.9014126	
HGNC:11835	TKTL1	-4.488642971	0.000479104	
HGNC:8620	PAX6	-0.582077774	0.301482219	
HGNC:14173	RPUSD1	2.343901016	5.32E-05	
HGNC:20561	RHBDF1	1.158754463	0.003055993	
HGNC:6723	LUC7L	1.117104286	0.00185912	
HGNC:1400	CACNA2D2	4.020122825	0.00290523	
HGNC:948	BAIAP3	2.524431262	0.006440854	
HGNC:14175	TSR3	1.205596978	0.00483563	
HGNC:14135	PIGQ	1.976872169	7.19E-05	
HGNC:14122	CRAMP1	-0.070428105	0.792875503	
HGNC:11716	TEAD3	0.83953147	0.026113665	
HGNC:10718	SELE	-3.139207314	0.015011546	
HGNC:25570	DNAJC11	-0.306164929	0.351647635	
HGNC:3771	FMO3	-3.287327153	4.20E-05	
HGNC:21155	MYLIP	-0.408833103	0.379007347	
HGNC:7889	NOX1	1.720275506	0.009013575	
HGNC:3114	E2F2	2.013135801	0.013130014	
HGNC:9537	PSMB1	0.287093017	0.372102266	
HGNC:11494	SYN1	3.762827469	0.011206734	
HGNC:6196	JARID2	0.660862776	0.09687352	
HGNC:11411	CDKL5	-0.430443384	0.562197685	
HGNC:14585	CAMK1G	5.257344991	0.008532601	
HGNC:1730	CDK11A	0.665290593	0.145272427	
HGNC:29831	NADK	-0.672580964	0.05494191	
HGNC:11743	TFAP2B	0.319407742	0.865854003	
HGNC:15581	TFAP2D	8.08403392	0.032436536	
HGNC:2899	DLEC1	1.089487287	0.192003663	
HGNC:9504	CYTH3	-2.259799561	0.000495129	
HGNC:201	ADAM22	-1.447014745	0.014951471	
HGNC:11507	SYPL1	-0.811301008	0.030703382	
HGNC:2571	CYB561	2.16983974	5.80E-05	
HGNC:14524	SPAG9	-1.208259229	0.016664055	
HGNC:3230	CELSR3	3.843335143	0.000225712	
 	AASS	-2.831010093	0.001652381	
HGNC:25562	PLEKHG6	-1.699659555	0.008448097	
HGNC:15593	SS18L2	1.275207635	0.015719474	
HGNC:25934	MPND	1.121690309	0.004640901	
HGNC:7061	MGST1	-1.422032605	0.092104526	
HGNC:2384	CRY1	-0.81953905	0.075113024	
HGNC:7788	NFIX	-0.115294907	0.849557384	
HGNC:10862	ST3GAL1	0.550367497	0.289921307	
HGNC:14246	MMP25	0.376938982	0.658747058	
HGNC:16830	IL32	-0.492181375	0.33914012	
HGNC:9008	PKD1	-0.803556533	0.081168759	
HGNC:6883	MAPK8IP2	4.927438108	0.001827381	
HGNC:22963	MED24	0.300590231	0.360643483	
HGNC:18756	RHOBTB2	-0.314525965	0.364330417	
HGNC:29273	HEATR5B	-0.042749461	0.900524986	
HGNC:11846	SEC62	-0.456585425	0.150359852	
HGNC:10405	RPS20	-0.251144616	0.57312591	
HGNC:29905	CSDE1	-1.113423538	0.00273154	
HGNC:16803	UBE3C	-0.368699055	0.136340576	
HGNC:9968	REV3L	-2.496385871	0.000400838	
HGNC:8117	TENM1	-5.575425529	3.17E-05	
HGNC:6902	MASP2	-2.261017902	0.00327811	
HGNC:21071	IYD	0.272706884	0.8350989	
HGNC:28530	FAM76A	-1.029649526	0.009566506	
HGNC:30766	TRAF3IP3	-1.074388255	0.08435533	
HGNC:19743	POMT2	0.031843288	0.933168846	
HGNC:20954	VTA1	0.155102812	0.554922188	
HGNC:12744	MLXIPL	-6.548809564	0.00011571	
HGNC:961	BAZ1B	-0.322003012	0.245645895	
HGNC:13727	RANBP9	0.847199836	0.079161418	
HGNC:18160	ETV7	1.968867054	0.011745896	
HGNC:25356	SPRTN	0.656610389	0.124240303	
HGNC:24248	METTL13	0.396529886	0.178391335	
HGNC:3095	DYRK4	1.309746116	0.034240185	
HGNC:12998	ZNF207	0.326909076	0.244671904	
HGNC:12585	UQCRC1	0.696412316	0.07307039	
HGNC:19169	STARD3NL	-0.003146303	0.994370876	
HGNC:1709	CD9	1.690721017	0.015271092	
HGNC:13242	HHATL	-4.118801223	0.002580515	
HGNC:24305	NCAPD2	0.57591779	0.103867836	
HGNC:24970	IFFO1	-2.457945075	0.000176609	
HGNC:4271	GIPR	1.710500342	0.02608573	
HGNC:18458	PHF7	-0.21193848	0.771174333	
HGNC:30400	SEMA3G	-5.010831262	3.27E-06	
HGNC:18006	NISCH	-0.479098676	0.186922012	
HGNC:18628	STAB1	-2.933424725	0.000707103	
HGNC:26219	FUZ	1.021808288	0.007862337	
HGNC:11046	SLC6A13	0.587639955	0.6075745	
HGNC:5389	IDS	-0.700527247	0.029002015	
HGNC:9486	PRSS3	-0.368100455	0.708328596	
HGNC:12993	ZNF200	0.111928202	0.734450678	
HGNC:1678	CD4	-2.390309808	9.66E-05	
HGNC:19138	LRRC23	1.232137935	0.010430154	
HGNC:1133	BTK	-2.279508043	0.00133476	
HGNC:4886	HFE	-0.100561349	0.883161024	
HGNC:19003	SCMH1	-0.45725968	0.241053757	
HGNC:4037	FYN	-3.322116906	1.76E-06	
HGNC:4921	HIVEP2	-1.536067031	0.023360506	
HGNC:3769	FMO1	-3.084377243	0.00266477	
HGNC:11620	ELOA	-0.473521966	0.100775569	
HGNC:6738	LYPLA2	1.650810952	0.000995325	
HGNC:2024	CLCN6	-1.489530193	0.000753853	
HGNC:16875	MRC2	-1.794188005	0.001790351	
HGNC:33531	NME1-NME2	2.834800098	0.003755683	
HGNC:21640	TSPAN9	0.312496088	0.312293238	
HGNC:18269	BTBD7	-0.765902069	0.032767321	
HGNC:580	APBA3	0.654132596	0.05565199	
HGNC:7121	MKS1	0.647793117	0.070068351	
 	ABHD5	-1.054160254	0.073686283	
HGNC:6211	ANOS1	-0.527113839	0.576809654	
HGNC:29857	AKAP8L	1.365151387	0.000198617	
HGNC:19866	MBTD1	-0.23375767	0.58682919	
HGNC:24274	UTP18	0.846491271	0.073673341	
HGNC:21698	RNF216	-0.15529858	0.532677547	
HGNC:26006	TTC19	0.235616168	0.47309515	
HGNC:9583	PTBP1	0.932877863	0.001904835	
HGNC:20225	DPF1	2.523920299	0.005673318	
HGNC:11514	SYT7	3.634988005	0.001514198	
HGNC:17095	LARS2	0.230820517	0.533953072	
HGNC:8971	PIK3C2A	-0.761421984	0.132599745	
HGNC:9053	PLAUR	0.520777243	0.401339176	
HGNC:14082	ANLN	1.68458158	0.051285002	
HGNC:30917	WIZ	0.686892863	0.036249637	
HGNC:17155	RABGAP1	-0.709159001	0.017745026	
HGNC:2705	DCN	-5.010681823	2.12E-06	
HGNC:25952	QPCTL	1.753913878	0.002152788	
HGNC:9322	PPP5C	1.076959494	0.00055047	
HGNC:29076	CEP68	-1.510800326	1.84E-05	
HGNC:6865	MAP4K3	-0.297803806	0.245761692	
HGNC:16763	ZBTB32	1.724724938	0.050315966	
HGNC:12449	TYROBP	-1.695243277	0.007087817	
HGNC:30136	TMEM159	-0.268455577	0.444351449	
HGNC:4077	GABRA3	3.414664686	0.059744767	
HGNC:1100	BRCA1	0.818391822	0.077194268	
HGNC:3433	ERCC1	0.828977361	0.012100812	
HGNC:1643	CD22	1.544134699	0.050175311	
HGNC:10724	SEMA3B	2.253502555	0.061958736	
HGNC:15455	MBTPS2	0.215448612	0.726484871	
HGNC:6645	PRICKLE3	1.286989242	0.005974853	
HGNC:6720	LTF	0.84336312	0.573074086	
HGNC:3518	EXTL3	-0.116854053	0.812261516	
HGNC:21308	ELOVL5	0.602210863	0.435400404	
HGNC:435	ALOX5	-1.017265444	0.089258777	
HGNC:29306	CALCOCO1	-1.353616971	0.000732081	
HGNC:20344	UBR7	0.298053504	0.350724482	
HGNC:6867	MAP4K5	-0.908439349	0.001761062	
HGNC:3244	EHD3	0.295347968	0.710311649	
HGNC:9551	PSMC4	1.529518564	0.000478503	
HGNC:29623	MAN2B2	0.012886481	0.975670179	
HGNC:29326	SLC7A14	-2.895492133	0.014608905	
HGNC:8514	CLDN11	-2.812942638	0.005129982	
HGNC:24279	SLC25A39	2.137213974	1.16E-05	
HGNC:7531	MVP	0.697876303	0.254533902	
HGNC:17623	NUB1	-0.434518371	0.085778176	
HGNC:8907	PGM3	-0.257036537	0.540724548	
HGNC:21385	RWDD2A	0.082264803	0.849104907	
HGNC:2068	CLK1	-0.626202373	0.080455638	
HGNC:30348	POLR3B	-0.318953362	0.269625409	
HGNC:19961	ANGEL1	-0.14555129	0.7764969	
HGNC:10058	RNF14	-0.044475374	0.901318541	
HGNC:2957	DNASE1L1	0.111205704	0.76185906	
HGNC:2736	DDX11	0.825899809	0.162888971	
HGNC:17176	HEBP1	1.754079882	0.017880728	
HGNC:9836	GPRC5A	2.573480311	0.002601717	
HGNC:2568	MAMLD1	-0.52648869	0.601305735	
HGNC:1691	CD6	-0.460253492	0.558651906	
HGNC:11524	TACC3	2.365813679	0.002993324	
HGNC:23039	UFL1	-0.330650503	0.432044601	
HGNC:30073	POLA2	1.072595434	0.006913201	
HGNC:28972	ZC3H3	1.622236758	7.61E-05	
HGNC:1476	CAPN1	0.950456149	0.019195035	
 	ACPP	-0.52365399	0.457024381	
HGNC:6970	MDH1	-0.943951895	0.018798875	
HGNC:1329	SLC30A9	0.675095828	0.090034858	
HGNC:24307	MTMR11	0.065846616	0.925584124	
HGNC:2263	COX15	0.132274793	0.609067559	
HGNC:19967	CCDC88C	1.595786102	0.003550689	
HGNC:17363	YAF2	0.128395647	0.666646302	
HGNC:16966	ZMYND11	-0.302820713	0.390527232	
HGNC:12731	WAS	-1.425790268	0.005988345	
HGNC:3002	DPEP1	0.496397046	0.504722362	
HGNC:1050	BID	0.838023049	0.119721007	
HGNC:6912	MATR3	-0.493105153	0.32366995	
HGNC:7898	NPC1L1	-0.513398345	0.586419067	
HGNC:15517	XYLT2	0.936871862	0.01256611	
HGNC:16078	STMN4	2.154801921	0.164317846	
HGNC:22208	NUDCD3	-0.003160553	0.992560381	
HGNC:24288	CHDH	1.297935903	0.204953762	
HGNC:6003	IL20RA	0.416288872	0.686923403	
HGNC:2018	CLCA4	-1.528800409	0.3472767	
HGNC:24870	GLT8D1	-0.166867671	0.6251331	
HGNC:13211	ATP2C1	0.247605555	0.319013161	
HGNC:5464	IGF1	-4.886882061	4.34E-06	
HGNC:18070	SLC38A5	0.480947654	0.489773524	
HGNC:9841	RALBP1	-0.543869061	0.082886817	
HGNC:30285	RUFY3	-0.17774196	0.618261721	
HGNC:2171	CNTN1	-2.488252152	0.007529026	
HGNC:10907	SLC11A1	-0.707788644	0.318781641	
HGNC:24042	WWTR1	-1.17858586	0.015299916	
HGNC:327	AGPS	0.045863143	0.947612992	
HGNC:26239	CXorf56	-0.221749258	0.419260982	
HGNC:800	ATP1A2	-6.589652722	0.000975672	
HGNC:25986	TTC27	0.207937652	0.578189181	
HGNC:26421	ZNF582	-0.173763371	0.666193124	
HGNC:17149	VSIG2	0.401572779	0.711284236	
HGNC:23697	PHLDB1	-2.743065541	1.60E-05	
HGNC:6895	MARCO	-6.703875817	0.000109146	
HGNC:2602	CYP24A1	0.157599974	0.931586767	
HGNC:13996	PRDM11	-1.25535119	0.003150846	
HGNC:14962	SYT13	3.469797455	0.104846649	
HGNC:11094	SNAI2	-2.620187695	7.26E-06	
HGNC:1697	CD74	-0.465097705	0.348679688	
HGNC:4893	HGF	-3.2023225	0.000144919	
HGNC:18224	ZRANB1	-1.023150737	0.013258208	
HGNC:17597	NCDN	2.94489918	0.00525164	
HGNC:17849	ADGRA2	-3.167177095	0.000343243	
HGNC:15940	ZFP64	0.581891504	0.129413599	
HGNC:7181	MNAT1	0.194856406	0.616315884	
HGNC:23023	SAMD4A	-2.843251909	0.000553514	
HGNC:10473	RUNX3	-1.056325803	0.122606829	
HGNC:7230	MRE11	-0.148805536	0.603115672	
HGNC:19079	PLEKHB1	1.794391588	0.120075967	
HGNC:3311	SERPINB1	-0.565220358	0.174752985	
HGNC:17450	CYP3A43	-1.772205814	0.143048083	
HGNC:11067	SLC7A9	0.912465816	0.146322908	
HGNC:11233	SPAST	0.062137222	0.820962178	
HGNC:8010	NRXN3	0.417433095	0.656179041	
HGNC:16392	OSBPL5	0.431914939	0.371988441	
HGNC:29513	AQR	-0.171480787	0.573854731	
HGNC:2323	CPS1	0.233193433	0.828585716	
HGNC:3702	FHL1	-8.401253377	5.50E-08	
HGNC:15890	RTF2	0.24257597	0.476246737	
HGNC:22948	NLRP2	3.677002938	0.047174858	
HGNC:29196	SLC45A4	0.144559059	0.676710509	
HGNC:10055	RNF10	0.132096531	0.669024006	
HGNC:20345	ZNF839	0.17667241	0.664579547	
HGNC:19160	ZDHHC6	0.603834288	0.0538591	
HGNC:29214	GRAMD1B	-1.45783378	0.014392255	
HGNC:10074	RNH1	-0.30279476	0.446430151	
HGNC:7707	NDUFS1	-0.48946043	0.21335116	
HGNC:15574	RB1CC1	0.072804656	0.875040955	
HGNC:18311	ERP44	-0.17274798	0.50592118	
HGNC:396	ALAS1	-0.23652445	0.423294027	
HGNC:591	BIRC3	-0.525815687	0.418291947	
HGNC:369	AKAP11	-1.178467622	0.01367161	
HGNC:16065	GLRX2	1.246063334	0.021001145	
HGNC:11134	SNAPC1	-0.553541421	0.147076417	
HGNC:24269	DERA	0.053209215	0.87451314	
HGNC:30796	STRAP	0.24582703	0.347036232	
 	ABCC2	-1.764633309	0.076604603	
HGNC:2760	DEF6	0.976993131	0.035006618	
HGNC:24310	PLEKHO1	0.559915057	0.395935518	
HGNC:4312	GCLM	-0.446823087	0.286095241	
HGNC:21289	UBR2	-0.352394862	0.319135471	
HGNC:3243	EHD2	-3.057630266	8.39E-05	
HGNC:22949	DEPDC1	2.395449749	0.010555144	
HGNC:21098	CCDC28A	-0.393983971	0.167671157	
HGNC:19903	RRAGD	-1.490096422	0.017297746	
HGNC:5225	HSF2	0.020932651	0.945596261	
HGNC:16098	PHF20	0.241960056	0.421238846	
HGNC:23316	HSD17B6	1.855797417	0.033363789	
HGNC:7966	NR1H3	-1.834725225	0.000435022	
HGNC:3148	TYMP	1.118789934	0.059613355	
HGNC:25071	NCAPH2	0.74438882	0.017059852	
HGNC:15746	TOMM34	1.848495592	0.000125349	
HGNC:21082	SEC63	-0.303158993	0.332229013	
HGNC:6399	KPNA6	-0.212366224	0.446937553	
HGNC:12692	VIM	-3.705168442	1.12E-06	
HGNC:44095	RTEL1-TNFRSF6B	0.793618769	0.20502092	
HGNC:11920	FAS	-1.766257504	0.001463122	
HGNC:21686	RNASET2	1.021086752	0.049378161	
HGNC:1681	CD44	-0.253830714	0.668189347	
HGNC:6248	KCNG1	1.791334667	0.069711774	
HGNC:20885	AGPAT4	-2.319938361	3.57E-05	
HGNC:21394	SLAMF7	-1.404433308	0.077868033	
HGNC:1138	BTN3A1	-0.998075848	0.011410853	
HGNC:7104	MIPEP	0.605976996	0.101085838	
HGNC:9403	PRKCH	-1.538229906	0.000171342	
HGNC:6093	INSRR	-1.452751161	0.018642489	
HGNC:5439	IFNGR1	-1.91808429	8.66E-06	
HGNC:930	B4GALT7	0.802004092	0.014857945	
HGNC:10821	SH2D2A	1.977275886	0.051116401	
HGNC:12719	VRK2	1.224493777	0.02972608	
HGNC:11917	TNFRSF1B	-2.707196641	2.61E-05	
HGNC:18258	VEZT	0.362687831	0.345015876	
HGNC:9213	POU2F2	-1.219497696	0.044567121	
HGNC:25818	BRD9	0.386425034	0.260814472	
HGNC:11172	SNX1	-0.863049072	0.060968895	
HGNC:11589	TBPL1	-0.361157408	0.263595752	
HGNC:18984	ARNTL2	-0.857786229	0.123883187	
HGNC:16863	BCLAF1	-0.218858248	0.441728092	
HGNC:20182	SLC39A9	0.858092773	0.122162825	
HGNC:492	ANK1	4.065606146	0.024444282	
HGNC:5341	IBSP	5.030872219	0.001278564	
HGNC:17037	TFB1M	0.619662291	0.061502874	
HGNC:17677	RABEP1	0.523304744	0.249022553	
HGNC:5004	HMGB3	3.566563753	0.002432867	
HGNC:18017	NUP160	-0.465210788	0.273653644	
HGNC:949	BAK1	0.951486159	0.08188645	
HGNC:7525	MUSK	-1.216243912	0.28459397	
HGNC:13177	IKZF2	-0.438486305	0.520375121	
HGNC:4601	GRN	0.201838706	0.680357789	
HGNC:1335	FAM13B	-1.227521304	0.015480543	
HGNC:29216	ARHGAP31	-2.85149548	1.41E-05	
HGNC:21347	CENPQ	-0.039321802	0.932913851	
HGNC:10537	SARS	0.088055332	0.77353841	
HGNC:9850	RANBP3	0.531772385	0.054410088	
HGNC:9885	ARID4A	-1.214077463	0.005753904	
HGNC:12383	EIPR1	1.61317427	0.000859857	
HGNC:16268	PNPLA6	0.174920218	0.631245231	
HGNC:20606	IFT88	0.433890306	0.29482877	
HGNC:18294	ALG1	1.00875178	0.031268996	
HGNC:25265	ZCCHC8	0.337892248	0.250978116	
 	ABCF2	0.492502357	0.151920685	
HGNC:29270	CHPF2	0.846669227	0.033290567	
HGNC:18531	LRRC7	-0.762448007	0.138909447	
HGNC:4019	FUT8	0.850502165	0.080385939	
HGNC:25581	UBA6	0.062771818	0.825959157	
HGNC:14458	GAB2	-1.830596871	0.008050938	
HGNC:865	ATP6V0A1	0.397779946	0.393996663	
HGNC:2752	PIAS1	-0.569430168	0.037871541	
HGNC:11033	SLC4A7	0.518398611	0.417167965	
HGNC:579	APBA2	2.742589413	0.033595977	
HGNC:6843	MAP2K3	0.005693993	0.989089214	
HGNC:25678	EFCAB1	-2.520765593	0.031163015	
HGNC:11879	TMSB10	1.127204401	0.201457751	
HGNC:25021	ASTE1	-0.370310167	0.302895886	
HGNC:13432	RNF19A	-0.313089366	0.329800362	
HGNC:8858	PEX3	-0.270872624	0.403291912	
HGNC:13291	GABARAPL2	-0.08123974	0.825825503	
HGNC:7610	MYOC	-11.62159655	1.07E-07	
HGNC:29546	SH3YL1	0.806941267	0.068727381	
HGNC:25911	FAM136A	1.184394485	0.00751318	
HGNC:12665	VCL	-0.842609251	0.016641828	
HGNC:24902	DEPDC1B	2.765187296	0.001553285	
HGNC:2675	DAPK2	-0.610802204	0.330996294	
HGNC:8017	NSMAF	-0.622944866	0.07001639	
HGNC:292	ADSS	0.915006671	0.057819954	
HGNC:24133	STAP1	-1.485806424	0.123863568	
HGNC:11821	TIMP2	-3.066891725	3.78E-06	
